time,current
0,0
0.0058594,-5.0932e-08
0.068359,-2.9087e-08
0.13086,-2.7307e-08
0.19531,-2.7407e-08
0.25195,-2.8319e-08
0.30859,-2.9689e-08
0.36621,-3.1432e-08
0.42969,-3.3368e-08
0.48633,-3.5461e-08
0.5498,-3.7888e-08
0.61426,-4.0022e-08
0.68164,-4.2948e-08
0.74414,-4.5474e-08
0.80078,-4.7946e-08
0.8584,-5.0799e-08
0.92188,-5.3883e-08
0.98535,-5.6828e-08
1.0488,-6.0042e-08
1.1133,-6.2659e-08
1.1699,-6.5851e-08
1.2334,-6.887e-08
1.2969,-7.1824e-08
1.3711,-7.5956e-08
1.4346,-7.9157e-08
1.498,-8.2519e-08
1.5615,-8.5598e-08
1.625,-8.8342e-08
1.6807,-9.1308e-08
1.7383,-9.4529e-08
1.8018,-9.7332e-08
1.8584,-1.0008e-07
1.916,-1.0301e-07
1.9727,-1.0615e-07
2.0479,-1.095e-07
2.1104,-1.1282e-07
2.1738,-1.1582e-07
2.2383,-1.1876e-07
2.3018,-1.2177e-07
2.3652,-1.2445e-07
2.4219,-1.273e-07
2.4863,-1.2991e-07
2.543,-1.3266e-07
2.6064,-1.3535e-07
2.6709,-1.3789e-07
2.7393,-1.4112e-07
2.8018,-1.4368e-07
2.8594,-1.4602e-07
2.916,-1.4859e-07
2.9795,-1.5127e-07
3.043,-1.5381e-07
3.1064,-1.5626e-07
3.1699,-1.5858e-07
3.2266,-1.6077e-07
3.2842,-1.629e-07
3.3408,-1.6506e-07
3.4102,-1.6783e-07
3.4727,-1.7002e-07
3.5371,-1.7238e-07
3.6006,-1.746e-07
3.665,-1.7659e-07
3.7217,-1.7848e-07
3.7783,-1.803e-07
3.8359,-1.8235e-07
3.8994,-1.8437e-07
3.9619,-1.8646e-07
4.0264,-1.884e-07
4.1016,-1.9054e-07
4.1641,-1.9242e-07
4.2285,-1.9424e-07
4.292,-1.9611e-07
4.3555,-1.9763e-07
4.4131,-1.994e-07
4.4766,-2.0076e-07
4.5332,-2.0267e-07
4.5977,-2.0428e-07
4.6611,-2.0571e-07
4.7178,-2.0733e-07
4.793,-2.0902e-07
4.8555,-2.1032e-07
4.9131,-2.1173e-07
4.9697,-2.1319e-07
5.0332,-2.1457e-07
5.0977,-2.1606e-07
5.1611,-2.1731e-07
5.2178,-2.1834e-07
5.2744,-2.1975e-07
5.332,-2.2084e-07
5.3887,-2.2219e-07
5.4639,-2.2381e-07
5.5264,-2.2492e-07
5.584,-2.2616e-07
5.6475,-2.2698e-07
5.7109,-2.2831e-07
5.7744,-2.292e-07
5.8311,-2.3027e-07
5.8955,-2.3127e-07
5.959,-2.3239e-07
6.0225,-2.3337e-07
6.0869,-2.3439e-07
6.1621,-2.3575e-07
6.2246,-2.3663e-07
6.2871,-2.3768e-07
6.3516,-2.3857e-07
6.415,-2.3976e-07
6.4785,-2.4043e-07
6.5352,-2.413e-07
6.5996,-2.4215e-07
6.6562,-2.4295e-07
6.7197,-2.4382e-07
6.7773,-2.4453e-07
6.8564,-2.4557e-07
6.9189,-2.462e-07
6.9834,-2.4687e-07
7.0469,-2.4765e-07
7.1035,-2.4821e-07
7.168,-2.4899e-07
7.2246,-2.4962e-07
7.2881,-2.5043e-07
7.3447,-2.51e-07
7.4023,-2.5132e-07
7.459,-2.5224e-07
7.5273,-2.5282e-07
7.5908,-2.5332e-07
7.6543,-2.5392e-07
7.7178,-2.5441e-07
7.7822,-2.5495e-07
7.8389,-2.5543e-07
7.8945,-2.5579e-07
7.9521,-2.5639e-07
8.0156,-2.5684e-07
8.0791,-2.5757e-07
8.1416,-2.5777e-07
8.2178,-2.584e-07
8.2803,-2.5874e-07
8.3447,-2.5917e-07
8.4082,-2.5957e-07
8.4658,-2.6014e-07
8.5225,-2.6056e-07
8.5859,-2.6094e-07
8.6436,-2.6126e-07
8.7061,-2.6167e-07
8.7705,-2.6217e-07
8.8271,-2.6244e-07
8.9023,-2.6289e-07
8.9648,-2.6319e-07
9.0225,-2.6345e-07
9.0859,-2.6412e-07
9.1484,-2.6454e-07
9.2129,-2.6466e-07
9.2764,-2.649e-07
9.3398,-2.65e-07
9.3965,-2.6531e-07
9.4609,-2.6555e-07
9.5166,-2.6603e-07
9.585,-2.6606e-07
9.6484,-2.664e-07
9.7119,-2.6691e-07
9.7754,-2.6694e-07
9.8389,-2.6725e-07
9.8945,-2.6751e-07
9.958,-2.6775e-07
10.021,-2.6783e-07
10.077,-2.6805e-07
10.133,-2.6825e-07
10.196,-2.6833e-07
10.271,-2.686e-07
10.334,-2.6874e-07
10.398,-2.6915e-07
10.462,-2.6927e-07
10.525,-2.6947e-07
10.582,-2.6957e-07
10.646,-2.6952e-07
10.709,-2.6985e-07
10.772,-2.7013e-07
10.835,-2.7036e-07
10.899,-2.7034e-07
10.968,-2.7036e-07
11.03,-2.7046e-07
11.095,-2.7059e-07
11.158,-2.708e-07
11.214,-2.7085e-07
11.276,-2.7092e-07
11.341,-2.711e-07
11.403,-2.7107e-07
11.468,-2.7111e-07
11.524,-2.7128e-07
11.589,-2.7133e-07
11.664,-2.7145e-07
11.728,-2.7173e-07
11.791,-2.7162e-07
11.855,-2.7175e-07
11.918,-2.7197e-07
11.982,-2.7178e-07
12.046,-2.7181e-07
12.103,-2.7182e-07
12.165,-2.7185e-07
12.223,-2.7185e-07
12.286,-2.7206e-07
12.361,-2.7203e-07
12.424,-2.723e-07
12.488,-2.7232e-07
12.552,-2.722e-07
12.615,-2.7211e-07
12.672,-2.7234e-07
12.736,-2.7249e-07
12.8,-2.724e-07
12.856,-2.7233e-07
12.912,-2.7242e-07
12.976,-2.7257e-07
13.051,-2.7234e-07
13.114,-2.721e-07
13.178,-2.7216e-07
13.234,-2.7238e-07
13.292,-2.723e-07
13.355,-2.7227e-07
13.413,-2.7245e-07
13.469,-2.7239e-07
13.525,-2.7256e-07
13.589,-2.725e-07
13.652,-2.7261e-07
13.72,-2.7236e-07
13.783,-2.7248e-07
13.847,-2.7241e-07
13.911,-2.7233e-07
13.975,-2.7225e-07
14.039,-2.7223e-07
14.095,-2.7218e-07
14.158,-2.7206e-07
14.214,-2.7209e-07
14.276,-2.7211e-07
14.341,-2.7206e-07
14.416,-2.7204e-07
14.479,-2.7208e-07
14.536,-2.7201e-07
14.594,-2.7174e-07
14.657,-2.7182e-07
14.721,-2.7162e-07
14.776,-2.7162e-07
14.839,-2.7164e-07
14.903,-2.7154e-07
14.967,-2.716e-07
15.03,-2.715e-07
15.099,-2.7142e-07
15.162,-2.715e-07
15.226,-2.7154e-07
15.289,-2.7136e-07
15.346,-2.7126e-07
15.41,-2.7135e-07
15.473,-2.7129e-07
15.537,-2.7112e-07
15.601,-2.7118e-07
15.665,-2.7131e-07
15.722,-2.7104e-07
15.799,-2.7102e-07
15.861,-2.7104e-07
15.918,-2.7087e-07
15.982,-2.7055e-07
16.046,-2.7068e-07
16.11,-2.7047e-07
16.174,-2.705e-07
16.238,-2.7038e-07
16.294,-2.7041e-07
16.357,-2.704e-07
16.414,-2.7015e-07
16.489,-2.7029e-07
16.552,-2.7006e-07
16.615,-2.7002e-07
16.679,-2.6986e-07
16.742,-2.6967e-07
16.806,-2.6952e-07
16.863,-2.693e-07
16.927,-2.694e-07
16.99,-2.6929e-07
17.046,-2.6926e-07
17.103,-2.6907e-07
17.171,-2.6886e-07
17.233,-2.6878e-07
17.298,-2.6873e-07
17.361,-2.6872e-07
17.417,-2.6866e-07
17.473,-2.6849e-07
17.537,-2.6835e-07
17.6,-2.6821e-07
17.664,-2.679e-07
17.728,-2.6819e-07
17.791,-2.6792e-07
17.859,-2.679e-07
17.923,-2.677e-07
17.979,-2.6762e-07
18.035,-2.676e-07
18.099,-2.6741e-07
18.162,-2.6743e-07
18.226,-2.6738e-07
18.29,-2.6728e-07
18.346,-2.6704e-07
18.409,-2.671e-07
18.473,-2.6687e-07
18.541,-2.6678e-07
18.604,-2.6652e-07
18.668,-2.6643e-07
18.725,-2.6636e-07
18.782,-2.6623e-07
18.846,-2.662e-07
18.909,-2.6609e-07
18.965,-2.66e-07
19.028,-2.6599e-07
19.084,-2.6582e-07
19.141,-2.658e-07
19.217,-2.6559e-07
19.279,-2.6549e-07
19.344,-2.6532e-07
19.4,-2.6542e-07
19.458,-2.6511e-07
19.521,-2.6516e-07
19.579,-2.6488e-07
19.635,-2.6471e-07
19.698,-2.6458e-07
19.756,-2.6449e-07
19.812,-2.6453e-07
19.88,-2.6433e-07
19.943,-2.6426e-07
20.007,-2.6422e-07
20.071,-2.6405e-07
20.135,-2.6375e-07
20.192,-2.6366e-07
20.249,-2.6363e-07
20.305,-2.6345e-07
20.368,-2.6329e-07
20.432,-2.6321e-07
20.495,-2.6313e-07
20.569,-2.6285e-07
20.633,-2.6273e-07
20.696,-2.626e-07
20.76,-2.6246e-07
20.816,-2.6248e-07
20.872,-2.6215e-07
20.929,-2.6216e-07
20.993,-2.6209e-07
21.057,-2.6212e-07
21.121,-2.6179e-07
21.178,-2.6163e-07
21.253,-2.6147e-07
21.315,-2.614e-07
21.373,-2.6115e-07
21.437,-2.6116e-07
21.5,-2.6099e-07
21.563,-2.6077e-07
21.626,-2.6063e-07
21.69,-2.6066e-07
21.747,-2.6045e-07
21.812,-2.602e-07
21.867,-2.6022e-07
21.942,-2.6016e-07
22.006,-2.5998e-07
22.069,-2.5993e-07
22.134,-2.5985e-07
22.197,-2.5973e-07
22.261,-2.5971e-07
22.324,-2.5956e-07
22.381,-2.5926e-07
22.445,-2.5925e-07
22.502,-2.5909e-07
22.566,-2.5898e-07
22.642,-2.5885e-07
22.705,-2.5863e-07
22.769,-2.585e-07
22.832,-2.5842e-07
22.896,-2.5834e-07
22.952,-2.5801e-07
23.017,-2.5793e-07
23.08,-2.5783e-07
23.137,-2.5773e-07
23.201,-2.5748e-07
23.265,-2.5725e-07
23.34,-2.5717e-07
23.402,-2.5716e-07
23.459,-2.5688e-07
23.523,-2.5686e-07
23.587,-2.5669e-07
23.645,-2.5651e-07
23.708,-2.5627e-07
23.771,-2.5614e-07
23.836,-2.5609e-07
23.899,-2.5609e-07
23.964,-2.5578e-07
24.039,-2.5577e-07
24.103,-2.5534e-07
24.166,-2.5534e-07
24.224,-2.5525e-07
24.279,-2.5513e-07
24.343,-2.55e-07
24.406,-2.5488e-07
24.47,-2.5472e-07
24.533,-2.5463e-07
24.589,-2.5446e-07
24.652,-2.5422e-07
24.728,-2.5401e-07
24.79,-2.5402e-07
24.848,-2.5387e-07
24.911,-2.5374e-07
24.975,-2.5362e-07
25.038,-2.5351e-07
25.095,-2.5339e-07
25.159,-2.5329e-07
25.215,-2.5304e-07
25.277,-2.5302e-07
25.342,-2.5298e-07
25.417,-2.5267e-07
25.48,-2.5251e-07
25.536,-2.5247e-07
25.6,-2.5243e-07
25.656,-2.5222e-07
25.72,-2.5198e-07
25.777,-2.5194e-07
25.841,-2.5193e-07
25.904,-2.5172e-07
25.968,-2.5167e-07
26.031,-2.5163e-07
26.106,-2.5145e-07
26.169,-2.5134e-07
26.233,-2.5137e-07
26.289,-2.5105e-07
26.352,-2.5082e-07
26.416,-2.5058e-07
26.472,-2.5063e-07
26.535,-2.5035e-07
26.599,-2.504e-07
26.655,-2.5013e-07
26.72,-2.4991e-07
26.795,-2.4998e-07
26.858,-2.4986e-07
26.922,-2.4955e-07
26.986,-2.4941e-07
27.05,-2.4926e-07
27.113,-2.4928e-07
27.177,-2.4902e-07
27.232,-2.4901e-07
27.296,-2.4863e-07
27.359,-2.4866e-07
27.416,-2.4857e-07
27.491,-2.4835e-07
27.554,-2.4821e-07
27.617,-2.4785e-07
27.681,-2.4773e-07
27.744,-2.4782e-07
27.808,-2.4769e-07
27.865,-2.4738e-07
27.929,-2.4731e-07
27.985,-2.4738e-07
28.043,-2.4725e-07
28.105,-2.4716e-07
28.182,-2.4704e-07
28.244,-2.4666e-07
28.302,-2.4674e-07
28.365,-2.4674e-07
28.423,-2.4659e-07
28.479,-2.4648e-07
28.542,-2.4609e-07
28.6,-2.4609e-07
28.655,-2.4579e-07
28.719,-2.4567e-07
28.774,-2.4566e-07
28.85,-2.4568e-07
28.912,-2.4549e-07
28.977,-2.4537e-07
29.033,-2.4509e-07
29.098,-2.4506e-07
29.161,-2.4488e-07
29.217,-2.4464e-07
29.279,-2.4457e-07
29.344,-2.4453e-07
29.4,-2.4434e-07
29.465,-2.4425e-07
29.54,-2.4412e-07
29.604,-2.4377e-07
29.667,-2.4359e-07
29.731,-2.437e-07
29.787,-2.4365e-07
29.851,-2.4349e-07
29.906,-2.4327e-07
29.969,-2.4312e-07
30.026,-2.4302e-07
30.082,-2.4286e-07
30.146,-2.4257e-07
30.215,-2.4252e-07
30.278,-2.4252e-07
30.335,-2.4232e-07
30.392,-2.4203e-07
30.455,-2.4221e-07
30.519,-2.4212e-07
30.582,-2.4186e-07
30.64,-2.4182e-07
30.696,-2.4175e-07
30.752,-2.4152e-07
30.816,-2.4159e-07
30.891,-2.4135e-07
30.953,-2.4127e-07
31.018,-2.4099e-07
31.081,-2.4112e-07
31.139,-2.4072e-07
31.195,-2.4062e-07
31.251,-2.4052e-07
31.308,-2.4023e-07
31.372,-2.4016e-07
31.436,-2.4012e-07
31.5,-2.3997e-07
31.568,-2.3991e-07
31.632,-2.3972e-07
31.688,-2.3973e-07
31.745,-2.3956e-07
31.809,-2.3939e-07
31.872,-2.3931e-07
31.937,-2.3917e-07
32,-2.3919e-07
32.058,-2.3892e-07
32.113,-2.3891e-07
32.17,-2.3886e-07
32.238,-2.3884e-07
