time,current
0,0
0.0058594,-4.2643e-08
0.068359,-2.1699e-08
0.12598,-1.9391e-08
0.18945,-1.876e-08
0.25293,-1.8591e-08
0.31641,-1.8657e-08
0.37988,-1.8795e-08
0.43652,-1.9058e-08
0.49316,-1.9399e-08
0.55664,-1.9732e-08
0.62109,-2.0089e-08
0.69531,-2.0511e-08
0.75781,-2.0908e-08
0.81543,-2.1362e-08
0.87891,-2.1809e-08
0.94238,-2.2275e-08
1.0059,-2.2683e-08
1.0684,-2.3073e-08
1.1328,-2.3516e-08
1.1904,-2.3998e-08
1.2549,-2.4453e-08
1.3184,-2.4879e-08
1.3936,-2.5383e-08
1.457,-2.5823e-08
1.5195,-2.6221e-08
1.5771,-2.6694e-08
1.6406,-2.7142e-08
1.7041,-2.7558e-08
1.7607,-2.7972e-08
1.8184,-2.8367e-08
1.876,-2.8709e-08
1.9336,-2.9187e-08
1.9971,-2.9665e-08
2.0713,-3.0112e-08
2.1348,-3.0456e-08
2.1914,-3.0926e-08
2.2549,-3.1353e-08
2.3184,-3.1767e-08
2.375,-3.2192e-08
2.4385,-3.2549e-08
2.4951,-3.2896e-08
2.5537,-3.3334e-08
2.6172,-3.3766e-08
2.6738,-3.425e-08
2.748,-3.4676e-08
2.8115,-3.4986e-08
2.8682,-3.5381e-08
2.9316,-3.5758e-08
2.9893,-3.6102e-08
3.0469,-3.6398e-08
3.1035,-3.6913e-08
3.167,-3.7228e-08
3.2236,-3.7559e-08
3.2871,-3.7934e-08
3.3447,-3.8312e-08
3.4209,-3.881e-08
3.4844,-3.913e-08
3.541,-3.9465e-08
3.6055,-3.9817e-08
3.6631,-4.0177e-08
3.7266,-4.0522e-08
3.7891,-4.0952e-08
3.8535,-4.1266e-08
3.9111,-4.1566e-08
3.9678,-4.1796e-08
4.0254,-4.2208e-08
4.1016,-4.2654e-08
4.1641,-4.2932e-08
4.2285,-4.3276e-08
4.292,-4.3646e-08
4.3555,-4.3901e-08
4.4121,-4.4323e-08
4.4766,-4.4581e-08
4.541,-4.4967e-08
4.6045,-4.5316e-08
4.6621,-4.5525e-08
4.7266,-4.59e-08
4.8008,-4.6219e-08
4.8643,-4.6492e-08
4.9277,-4.683e-08
4.9844,-4.705e-08
5.0479,-4.7468e-08
5.1113,-4.7687e-08
5.1748,-4.7933e-08
5.2324,-4.8263e-08
5.2969,-4.8576e-08
5.3604,-4.8834e-08
5.4238,-4.9196e-08
5.5,-4.9521e-08
5.5625,-4.9791e-08
5.626,-5.0119e-08
5.6895,-5.0388e-08
5.7529,-5.0723e-08
5.8096,-5.1058e-08
5.8662,-5.1266e-08
5.9297,-5.1569e-08
5.9941,-5.1821e-08
6.0566,-5.2024e-08
6.1211,-5.2232e-08
6.1973,-5.2524e-08
6.2607,-5.283e-08
6.3242,-5.3102e-08
6.3877,-5.3337e-08
6.4512,-5.3697e-08
6.5088,-5.3929e-08
6.5723,-5.409e-08
6.6289,-5.4316e-08
6.6865,-5.4635e-08
6.751,-5.4803e-08
6.8086,-5.4994e-08
6.8838,-5.5352e-08
6.9463,-5.552e-08
7.0039,-5.5761e-08
7.0615,-5.6007e-08
7.1182,-5.6179e-08
7.1816,-5.6426e-08
7.2451,-5.6663e-08
7.3018,-5.6898e-08
7.3652,-5.7139e-08
7.4287,-5.7315e-08
7.4922,-5.7633e-08
7.5664,-5.7963e-08
7.6299,-5.8101e-08
7.6934,-5.8261e-08
7.7568,-5.8466e-08
7.8203,-5.8667e-08
7.877,-5.8884e-08
7.9404,-5.9155e-08
8.0039,-5.9341e-08
8.0684,-5.9488e-08
8.126,-5.9716e-08
8.1895,-5.9926e-08
8.2646,-6.0158e-08
8.3281,-6.0303e-08
8.3916,-6.0539e-08
8.4551,-6.0744e-08
8.5186,-6.0933e-08
8.582,-6.1273e-08
8.6455,-6.135e-08
8.709,-6.1705e-08
8.7666,-6.1785e-08
8.8232,-6.193e-08
8.8789,-6.2149e-08
8.9473,-6.2331e-08
9.0107,-6.2434e-08
9.0664,-6.2604e-08
9.123,-6.2755e-08
9.1875,-6.2964e-08
9.251,-6.3049e-08
9.3086,-6.328e-08
9.3652,-6.3634e-08
9.4287,-6.3742e-08
9.4932,-6.3855e-08
9.5566,-6.4128e-08
9.6309,-6.4161e-08
9.6943,-6.4362e-08
9.751,-6.4636e-08
9.8154,-6.4829e-08
9.8789,-6.4911e-08
9.9424,-6.5166e-08
10.006,-6.543e-08
10.069,-6.5457e-08
10.134,-6.5623e-08
10.19,-6.5778e-08
10.254,-6.5799e-08
10.322,-6.5995e-08
10.386,-6.613e-08
10.449,-6.6325e-08
10.513,-6.6443e-08
10.576,-6.6664e-08
10.64,-6.6781e-08
10.704,-6.6925e-08
10.761,-6.7074e-08
10.818,-6.7239e-08
10.875,-6.7296e-08
10.938,-6.748e-08
11.013,-6.7595e-08
11.076,-6.7772e-08
11.14,-6.7967e-08
11.203,-6.8086e-08
11.26,-6.8237e-08
11.323,-6.8378e-08
11.388,-6.8462e-08
11.443,-6.8599e-08
11.507,-6.8759e-08
11.571,-6.8894e-08
11.635,-6.9016e-08
11.711,-6.928e-08
11.774,-6.9371e-08
11.831,-6.9506e-08
11.895,-6.9566e-08
11.959,-6.9608e-08
12.022,-6.9717e-08
12.086,-6.9899e-08
12.144,-7.0147e-08
12.2,-7.0248e-08
12.257,-7.0412e-08
12.321,-7.0476e-08
12.396,-7.0606e-08
12.459,-7.0778e-08
12.521,-7.0838e-08
12.586,-7.0936e-08
12.649,-7.1105e-08
12.706,-7.1188e-08
12.764,-7.1199e-08
12.827,-7.1358e-08
12.891,-7.1533e-08
12.955,-7.1534e-08
13.019,-7.165e-08
13.094,-7.1825e-08
13.156,-7.2121e-08
13.221,-7.2088e-08
13.284,-7.2184e-08
13.341,-7.238e-08
13.405,-7.2464e-08
13.469,-7.2541e-08
13.532,-7.2647e-08
13.59,-7.2766e-08
13.653,-7.2993e-08
13.718,-7.2943e-08
13.792,-7.3104e-08
13.854,-7.3176e-08
13.919,-7.3333e-08
13.982,-7.3431e-08
14.039,-7.3472e-08
14.102,-7.3572e-08
14.166,-7.3635e-08
14.229,-7.3839e-08
14.286,-7.3846e-08
14.344,-7.3984e-08
14.407,-7.4026e-08
14.482,-7.4213e-08
14.546,-7.4252e-08
14.609,-7.4329e-08
14.673,-7.4581e-08
14.737,-7.4558e-08
14.801,-7.4617e-08
14.857,-7.4765e-08
14.915,-7.4756e-08
14.972,-7.478e-08
15.028,-7.4892e-08
15.093,-7.4977e-08
15.168,-7.5255e-08
15.231,-7.5325e-08
15.295,-7.537e-08
15.359,-7.5444e-08
15.416,-7.5385e-08
15.479,-7.5515e-08
15.543,-7.5685e-08
15.607,-7.5712e-08
15.664,-7.5734e-08
15.721,-7.5833e-08
15.785,-7.5902e-08
15.86,-7.6033e-08
15.923,-7.6143e-08
15.987,-7.6227e-08
16.051,-7.6242e-08
16.114,-7.6309e-08
16.171,-7.6477e-08
16.229,-7.6409e-08
16.292,-7.6474e-08
16.35,-7.6602e-08
16.413,-7.6721e-08
16.477,-7.6804e-08
16.551,-7.6998e-08
16.614,-7.6973e-08
16.678,-7.6969e-08
16.734,-7.7077e-08
16.799,-7.7096e-08
16.862,-7.7191e-08
16.92,-7.7394e-08
16.983,-7.7362e-08
17.048,-7.7576e-08
17.111,-7.7495e-08
17.169,-7.7685e-08
17.243,-7.7749e-08
17.306,-7.7788e-08
17.363,-7.769e-08
17.42,-7.7836e-08
17.483,-7.802e-08
17.548,-7.8062e-08
17.604,-7.8086e-08
17.661,-7.8202e-08
17.725,-7.8252e-08
17.788,-7.8309e-08
17.852,-7.8306e-08
17.927,-7.8491e-08
17.99,-7.8554e-08
18.046,-7.8541e-08
18.11,-7.8601e-08
18.166,-7.8701e-08
18.229,-7.8664e-08
18.293,-7.8857e-08
18.35,-7.893e-08
18.414,-7.889e-08
18.478,-7.8938e-08
18.542,-7.9025e-08
18.619,-7.8957e-08
18.683,-7.9058e-08
18.745,-7.9052e-08
18.803,-7.9097e-08
18.866,-7.9125e-08
18.931,-7.9151e-08
18.994,-7.9388e-08
19.052,-7.9272e-08
19.115,-7.9283e-08
19.172,-7.9393e-08
19.229,-7.9502e-08
19.305,-7.9551e-08
19.368,-7.9683e-08
19.432,-7.9638e-08
19.495,-7.9755e-08
19.559,-7.9678e-08
19.622,-7.9879e-08
19.686,-7.9911e-08
19.749,-7.9918e-08
19.806,-7.9996e-08
19.869,-8.0107e-08
19.934,-8.009e-08
20.009,-8.0093e-08
20.071,-8.0183e-08
20.136,-8.0224e-08
20.199,-8.0186e-08
20.264,-8.0357e-08
20.327,-8.0423e-08
20.391,-8.0414e-08
20.447,-8.0498e-08
20.512,-8.0516e-08
20.576,-8.063e-08
20.633,-8.0695e-08
20.708,-8.0645e-08
20.771,-8.0616e-08
20.828,-8.0714e-08
20.892,-8.0819e-08
20.955,-8.0883e-08
21.013,-8.085e-08
21.069,-8.0881e-08
21.126,-8.0957e-08
21.19,-8.1126e-08
21.254,-8.1158e-08
21.311,-8.1172e-08
21.378,-8.1297e-08
21.441,-8.1404e-08
21.498,-8.1368e-08
21.562,-8.157e-08
21.626,-8.1417e-08
21.689,-8.1548e-08
21.753,-8.1517e-08
21.81,-8.1583e-08
21.867,-8.1706e-08
21.931,-8.1613e-08
21.987,-8.1673e-08
22.062,-8.1739e-08
22.126,-8.1824e-08
22.182,-8.1728e-08
22.244,-8.174e-08
22.309,-8.1835e-08
22.365,-8.1854e-08
22.429,-8.1941e-08
22.493,-8.1971e-08
22.55,-8.2104e-08
22.613,-8.2108e-08
22.678,-8.2095e-08
22.753,-8.2187e-08
22.815,-8.2225e-08
22.88,-8.2193e-08
22.937,-8.2209e-08
22.992,-8.2099e-08
23.057,-8.2231e-08
23.12,-8.233e-08
23.184,-8.2389e-08
23.247,-8.2547e-08
23.312,-8.2373e-08
23.368,-8.2417e-08
23.437,-8.2495e-08
23.499,-8.2502e-08
23.563,-8.2531e-08
23.627,-8.2674e-08
23.69,-8.2736e-08
23.755,-8.2695e-08
23.818,-8.2709e-08
23.882,-8.2865e-08
23.939,-8.2822e-08
23.996,-8.2838e-08
24.06,-8.2977e-08
24.134,-8.2911e-08
24.197,-8.3105e-08
24.261,-8.2966e-08
24.324,-8.3048e-08
24.388,-8.3057e-08
24.451,-8.3012e-08
24.508,-8.3122e-08
24.565,-8.3157e-08
24.629,-8.3172e-08
24.691,-8.3258e-08
24.756,-8.3198e-08
24.83,-8.3153e-08
24.894,-8.3191e-08
24.957,-8.3376e-08
25.021,-8.3376e-08
25.078,-8.3441e-08
25.135,-8.3412e-08
25.199,-8.3391e-08
25.263,-8.3535e-08
25.326,-8.3517e-08
25.39,-8.3566e-08
25.454,-8.3512e-08
25.528,-8.3594e-08
25.592,-8.3574e-08
25.655,-8.362e-08
25.719,-8.37e-08
25.776,-8.374e-08
25.84,-8.3805e-08
25.903,-8.3687e-08
25.968,-8.3791e-08
26.024,-8.3641e-08
26.08,-8.3795e-08
26.144,-8.3845e-08
26.219,-8.3856e-08
26.281,-8.385e-08
26.344,-8.3841e-08
26.408,-8.388e-08
26.472,-8.3857e-08
26.535,-8.3958e-08
26.592,-8.3939e-08
26.647,-8.4042e-08
