time,current
0,0
0.0058594,-4.0064e-08
0.069336,-1.9886e-08
0.12598,-1.7548e-08
0.18945,-1.6889e-08
0.25293,-1.6736e-08
0.31641,-1.676e-08
0.38086,-1.688e-08
0.43848,-1.7088e-08
0.50195,-1.7378e-08
0.56543,-1.7713e-08
0.62891,-1.8024e-08
0.69727,-1.8392e-08
0.76074,-1.8816e-08
0.82422,-1.9189e-08
0.8877,-1.9576e-08
0.95117,-1.9931e-08
1.0078,-2.0321e-08
1.0723,-2.0709e-08
1.1367,-2.1054e-08
1.2002,-2.1495e-08
1.2578,-2.1973e-08
1.3223,-2.2309e-08
1.3965,-2.2839e-08
1.459,-2.3232e-08
1.5234,-2.3665e-08
1.5879,-2.4056e-08
1.6455,-2.4471e-08
1.709,-2.5005e-08
1.7734,-2.5384e-08
1.8311,-2.5807e-08
1.8877,-2.6201e-08
1.9512,-2.6693e-08
2.0146,-2.704e-08
2.0918,-2.7559e-08
2.1543,-2.7981e-08
2.2178,-2.8416e-08
2.2812,-2.8871e-08
2.3447,-2.9144e-08
2.4023,-2.9605e-08
2.4658,-3.0061e-08
2.5293,-3.0439e-08
2.5928,-3.0823e-08
2.6494,-3.1276e-08
2.7129,-3.1718e-08
2.7939,-3.2185e-08
2.8574,-3.2643e-08
2.9209,-3.2983e-08
2.9844,-3.3448e-08
3.041,-3.3869e-08
3.1045,-3.4172e-08
3.1621,-3.4516e-08
3.2266,-3.4957e-08
3.2852,-3.5289e-08
3.3418,-3.5594e-08
3.4053,-3.606e-08
3.4727,-3.644e-08
3.5361,-3.6751e-08
3.5996,-3.7203e-08
3.6631,-3.7593e-08
3.7266,-3.8005e-08
3.79,-3.84e-08
3.8467,-3.8665e-08
3.9043,-3.8982e-08
3.9619,-3.933e-08
4.0254,-3.9777e-08
4.0889,-4.0124e-08
4.1641,-4.0553e-08
4.2266,-4.0834e-08
4.291,-4.1194e-08
4.3545,-4.1518e-08
4.4111,-4.184e-08
4.4756,-4.2173e-08
4.54,-4.2514e-08
4.5977,-4.2877e-08
4.6621,-4.3269e-08
4.7256,-4.3634e-08
4.7891,-4.3994e-08
4.8701,-4.4301e-08
4.9336,-4.4607e-08
4.9971,-4.4969e-08
5.0537,-4.5282e-08
5.1113,-4.5549e-08
5.1689,-4.5878e-08
5.2324,-4.6138e-08
5.2959,-4.6452e-08
5.3594,-4.6789e-08
5.4238,-4.7035e-08
5.4814,-4.7422e-08
5.5557,-4.7764e-08
5.6182,-4.8049e-08
5.6816,-4.8377e-08
5.7451,-4.8672e-08
5.8027,-4.8968e-08
5.8662,-4.9239e-08
5.9297,-4.958e-08
5.9932,-4.9822e-08
6.0566,-5.0167e-08
6.1133,-5.035e-08
6.1768,-5.08e-08
6.252,-5.1132e-08
6.3145,-5.124e-08
6.3721,-5.1607e-08
6.4297,-5.1775e-08
6.4932,-5.2136e-08
6.5566,-5.2231e-08
6.6143,-5.2557e-08
6.6777,-5.2777e-08
6.7412,-5.3075e-08
6.8047,-5.3303e-08
6.8613,-5.3533e-08
6.9355,-5.3769e-08
6.999,-5.4028e-08
7.0566,-5.4324e-08
7.1211,-5.4568e-08
