time,current
0,0
0.0058594,-8.7443e-08
0.069336,-4.8969e-08
0.13184,-4.7082e-08
0.18945,-4.7442e-08
0.24609,-4.8589e-08
0.30273,-5.0465e-08
0.36719,-5.2475e-08
0.43066,-5.4631e-08
0.49414,-5.7161e-08
0.55762,-5.9626e-08
0.62207,-6.1885e-08
0.68848,-6.489e-08
0.75098,-6.7484e-08
0.81543,-7.0109e-08
0.87891,-7.2546e-08
0.93457,-7.5194e-08
0.99805,-7.7849e-08
1.0625,-8.045e-08
1.125,-8.2812e-08
1.1826,-8.5387e-08
1.2461,-8.7838e-08
1.3096,-9.0349e-08
1.3887,-9.3374e-08
1.4512,-9.5671e-08
1.5146,-9.8112e-08
1.5713,-1.0044e-07
1.6348,-1.0271e-07
1.6982,-1.0507e-07
1.7627,-1.0727e-07
1.8262,-1.0938e-07
1.8818,-1.1133e-07
1.9395,-1.1355e-07
1.9961,-1.157e-07
2.0713,-1.1817e-07
2.1348,-1.2016e-07
2.1982,-1.2197e-07
2.2549,-1.2398e-07
2.3184,-1.2578e-07
2.376,-1.2784e-07
2.4395,-1.2982e-07
2.502,-1.3136e-07
2.5596,-1.3313e-07
2.6152,-1.3492e-07
2.6787,-1.3662e-07
2.7539,-1.3857e-07
2.8174,-1.4031e-07
2.8809,-1.421e-07
2.9443,-1.436e-07
3.002,-1.4509e-07
3.0586,-1.4667e-07
3.1221,-1.48e-07
3.1797,-1.4945e-07
3.2432,-1.5083e-07
3.3066,-1.5218e-07
3.3633,-1.5348e-07
3.4375,-1.5544e-07
3.501,-1.5674e-07
3.5576,-1.5806e-07
3.6143,-1.5919e-07
3.6719,-1.6031e-07
3.7354,-1.6173e-07
3.7988,-1.6257e-07
3.8564,-1.641e-07
3.9199,-1.6519e-07
3.9766,-1.6644e-07
4.041,-1.6737e-07
4.1064,-1.6867e-07
4.1699,-1.6976e-07
4.2266,-1.7101e-07
4.291,-1.718e-07
4.3477,-1.7299e-07
4.4043,-1.7385e-07
4.4688,-1.7506e-07
4.5322,-1.761e-07
4.5957,-1.769e-07
4.6602,-1.7784e-07
