time,current
0,0
0.0058594,-9.5111e-08
0.069336,-6.5784e-08
0.13281,-7.1229e-08
0.19043,-8.22e-08
0.25391,-9.6081e-08
0.31738,-1.116e-07
0.38086,-1.2695e-07
0.4375,-1.4286e-07
0.49512,-1.6137e-07
0.55859,-1.8056e-07
0.62109,-1.9989e-07
0.69727,-2.2229e-07
0.75977,-2.4178e-07
0.82422,-2.5952e-07
0.87988,-2.7862e-07
0.94336,-2.9546e-07
1,-3.138e-07
1.0635,-3.3162e-07
1.127,-3.4901e-07
1.1904,-3.659e-07
1.2539,-3.8028e-07
1.3115,-3.9448e-07
1.3838,-4.1267e-07
1.4463,-4.2574e-07
1.5029,-4.3818e-07
1.5605,-4.4972e-07
1.6172,-4.6234e-07
1.6807,-4.7264e-07
1.7383,-4.8318e-07
1.7949,-4.9293e-07
1.8506,-5.0371e-07
1.915,-5.132e-07
1.9785,-5.2242e-07
2.0537,-5.3259e-07
2.1162,-5.399e-07
2.1738,-5.4729e-07
2.2373,-5.539e-07
2.2939,-5.6001e-07
2.3506,-5.6597e-07
2.4082,-5.7175e-07
2.4639,-5.7752e-07
2.5273,-5.8274e-07
2.5918,-5.877e-07
2.6484,-5.9273e-07
2.7285,-5.9822e-07
2.791,-6.024e-07
2.8477,-6.0652e-07
2.9121,-6.1014e-07
2.9756,-6.1376e-07
3.0391,-6.1738e-07
3.1035,-6.2056e-07
3.167,-6.2313e-07
3.2236,-6.2547e-07
3.2803,-6.2773e-07
3.3379,-6.2951e-07
3.4072,-6.3287e-07
3.4697,-6.3511e-07
3.5342,-6.3693e-07
3.5977,-6.389e-07
3.6611,-6.4031e-07
3.7178,-6.4145e-07
3.7754,-6.4263e-07
3.832,-6.4407e-07
3.8955,-6.4548e-07
3.9531,-6.4634e-07
4.0166,-6.478e-07
4.085,-6.4907e-07
4.1475,-6.5004e-07
4.2119,-6.5057e-07
4.2686,-6.5113e-07
4.3252,-6.5184e-07
4.3828,-6.5259e-07
4.4463,-6.5309e-07
4.5098,-6.5328e-07
4.5664,-6.5385e-07
4.6309,-6.5394e-07
4.6943,-6.5454e-07
4.7627,-6.5473e-07
4.8262,-6.5495e-07
4.8896,-6.5483e-07
