time,current
0,0
0.0058594,-1.4978e-07
0.068359,-8.6416e-08
0.13281,-8.561e-08
0.19629,-8.897e-08
0.25977,-9.2965e-08
0.31641,-9.745e-08
0.37402,-1.0291e-07
0.4375,-1.0873e-07
0.50098,-1.144e-07
0.56543,-1.2007e-07
0.62891,-1.2606e-07
0.70312,-1.3285e-07
0.7666,-1.3866e-07
0.83008,-1.4447e-07
0.89355,-1.5006e-07
0.95801,-1.5489e-07
1.0146,-1.6047e-07
1.0781,-1.6591e-07
1.1357,-1.7053e-07
1.1924,-1.7611e-07
1.2559,-1.8069e-07
1.3135,-1.8568e-07
1.3945,-1.9243e-07
1.458,-1.9693e-07
1.5137,-2.0109e-07
1.5703,-2.0541e-07
1.6279,-2.1022e-07
1.6914,-2.145e-07
1.7471,-2.1853e-07
1.8047,-2.224e-07
1.8604,-2.2666e-07
1.9238,-2.3088e-07
1.9863,-2.3506e-07
2.0615,-2.3958e-07
2.125,-2.4312e-07
2.1816,-2.4709e-07
2.2451,-2.5091e-07
2.3076,-2.5428e-07
2.3652,-2.5738e-07
2.4219,-2.6085e-07
2.4854,-2.6441e-07
2.5498,-2.6774e-07
2.6133,-2.7087e-07
2.6768,-2.7381e-07
2.7451,-2.7703e-07
2.8086,-2.8005e-07
2.8721,-2.8282e-07
2.9355,-2.853e-07
2.9912,-2.8798e-07
3.0547,-2.9032e-07
3.1123,-2.93e-07
3.1758,-2.956e-07
3.2393,-2.9795e-07
3.2959,-3.0003e-07
3.3516,-3.0206e-07
3.4199,-3.0442e-07
3.4824,-3.0658e-07
3.5469,-3.0849e-07
3.6035,-3.1041e-07
3.667,-3.1264e-07
3.7314,-3.1435e-07
3.7881,-3.162e-07
3.8447,-3.1814e-07
3.9082,-3.1996e-07
3.9717,-3.2132e-07
4.0352,-3.231e-07
4.1104,-3.2487e-07
4.1738,-3.2653e-07
4.2305,-3.2807e-07
4.2939,-3.2961e-07
4.3564,-3.3059e-07
4.4141,-3.3218e-07
4.4707,-3.3322e-07
4.5273,-3.3442e-07
4.5918,-3.3584e-07
4.6553,-3.3668e-07
4.7119,-3.3742e-07
4.7871,-3.3906e-07
4.8496,-3.3995e-07
4.9072,-3.4091e-07
4.9629,-3.4246e-07
5.0254,-3.4288e-07
5.083,-3.4401e-07
5.1396,-3.4495e-07
5.1963,-3.4586e-07
5.2539,-3.4681e-07
5.3096,-3.476e-07
5.373,-3.482e-07
5.4414,-3.4911e-07
5.5049,-3.4966e-07
5.5684,-3.5076e-07
5.6328,-3.5089e-07
5.6885,-3.5156e-07
5.7451,-3.5226e-07
5.8086,-3.5309e-07
5.8721,-3.5361e-07
5.9277,-3.5389e-07
5.9844,-3.5449e-07
6.042,-3.5534e-07
6.1172,-3.5589e-07
6.1797,-3.5608e-07
6.2441,-3.5674e-07
6.3076,-3.5718e-07
6.3711,-3.575e-07
6.4346,-3.5771e-07
6.4922,-3.5826e-07
6.5557,-3.5897e-07
6.6191,-3.5925e-07
6.6758,-3.5973e-07
6.7402,-3.5988e-07
6.8154,-3.6023e-07
6.8779,-3.6056e-07
6.9424,-3.6096e-07
7.0059,-3.6057e-07
7.0684,-3.6106e-07
7.126,-3.6156e-07
7.1895,-3.6168e-07
7.2529,-3.6205e-07
7.3105,-3.6204e-07
7.374,-3.6215e-07
7.4375,-3.6232e-07
7.5127,-3.6274e-07
7.5752,-3.6293e-07
7.6328,-3.6301e-07
7.6963,-3.6296e-07
7.7598,-3.6316e-07
7.8232,-3.6344e-07
7.8809,-3.6353e-07
7.9443,-3.6369e-07
8.001,-3.6361e-07
8.0645,-3.6379e-07
8.1279,-3.6369e-07
8.1963,-3.6401e-07
8.2598,-3.6396e-07
8.3164,-3.6408e-07
8.373,-3.6392e-07
8.4297,-3.6361e-07
8.4932,-3.6379e-07
8.5566,-3.6401e-07
8.6133,-3.6411e-07
8.6777,-3.6373e-07
8.7344,-3.6349e-07
8.7988,-3.6375e-07
8.874,-3.637e-07
8.9365,-3.6355e-07
9,-3.6319e-07
9.0635,-3.6317e-07
9.1279,-3.632e-07
9.1924,-3.6322e-07
9.249,-3.6325e-07
9.3135,-3.6289e-07
9.3691,-3.6299e-07
9.4336,-3.6263e-07
9.4961,-3.6277e-07
9.5713,-3.624e-07
9.6338,-3.6233e-07
9.6904,-3.6192e-07
9.748,-3.617e-07
9.8115,-3.6177e-07
9.8691,-3.6171e-07
9.9316,-3.6194e-07
9.9961,-3.6178e-07
10.06,-3.6152e-07
10.123,-3.6139e-07
10.187,-3.6104e-07
10.255,-3.6094e-07
10.317,-3.6104e-07
10.374,-3.6096e-07
10.432,-3.6073e-07
10.495,-3.605e-07
10.552,-3.6044e-07
10.616,-3.5979e-07
10.672,-3.5973e-07
10.736,-3.5963e-07
10.8,-3.5978e-07
10.857,-3.596e-07
10.932,-3.5913e-07
10.995,-3.5912e-07
11.059,-3.5881e-07
11.122,-3.5916e-07
11.187,-3.5895e-07
11.25,-3.5912e-07
11.308,-3.5866e-07
11.371,-3.5852e-07
11.428,-3.5807e-07
11.491,-3.5809e-07
11.555,-3.5788e-07
11.629,-3.5748e-07
11.692,-3.5709e-07
11.749,-3.5716e-07
11.813,-3.5685e-07
11.869,-3.5644e-07
11.933,-3.5618e-07
11.989,-3.5627e-07
12.052,-3.5554e-07
12.116,-3.5585e-07
12.18,-3.5591e-07
12.244,-3.5515e-07
12.319,-3.5492e-07
12.383,-3.5476e-07
12.446,-3.5462e-07
12.511,-3.5433e-07
12.574,-3.5408e-07
12.638,-3.54e-07
12.693,-3.5375e-07
12.757,-3.5358e-07
12.82,-3.5294e-07
12.884,-3.5283e-07
12.947,-3.5262e-07
13.015,-3.5198e-07
13.077,-3.5199e-07
