time,current
0,0
0.0058594,-2.1422e-08
0.068359,-1.1033e-08
0.12598,-9.3509e-09
0.18945,-8.6916e-09
0.25293,-8.3745e-09
0.31641,-8.3369e-09
0.37305,-8.2907e-09
0.4375,-8.2649e-09
0.50098,-8.319e-09
0.55762,-8.4052e-09
0.62109,-8.4891e-09
0.69531,-8.684e-09
0.75879,-8.8595e-09
0.82227,-9.0252e-09
0.88574,-9.2186e-09
0.94336,-9.4579e-09
1.0068,-9.5984e-09
1.0645,-9.7829e-09
1.1279,-9.9927e-09
1.1924,-1.0294e-08
1.2568,-1.0506e-08
1.3213,-1.0712e-08
1.3994,-1.1055e-08
1.4629,-1.1263e-08
1.5264,-1.1559e-08
1.584,-1.1855e-08
1.6475,-1.2052e-08
1.7109,-1.2331e-08
1.7676,-1.2532e-08
1.8252,-1.2834e-08
1.8877,-1.3083e-08
1.9512,-1.3376e-08
2.0088,-1.3639e-08
2.0771,-1.3955e-08
2.1406,-1.4246e-08
2.1973,-1.4537e-08
2.2617,-1.4821e-08
2.3252,-1.5169e-08
2.3887,-1.5407e-08
2.4521,-1.5734e-08
2.5156,-1.5985e-08
2.5732,-1.6312e-08
2.6299,-1.6572e-08
2.6934,-1.6821e-08
2.7607,-1.7167e-08
2.8242,-1.7497e-08
2.8877,-1.7746e-08
2.9512,-1.8107e-08
3.0146,-1.8371e-08
3.0713,-1.8701e-08
3.1289,-1.9009e-08
3.1924,-1.9251e-08
3.249,-1.9592e-08
3.3125,-1.9919e-08
3.376,-2.0261e-08
3.4502,-2.0617e-08
3.5137,-2.093e-08
3.5771,-2.1253e-08
3.6348,-2.1553e-08
3.6914,-2.1829e-08
3.7549,-2.2175e-08
3.8115,-2.2446e-08
3.875,-2.2827e-08
3.9385,-2.3131e-08
4.002,-2.3414e-08
4.0586,-2.3692e-08
4.1279,-2.4033e-08
4.1914,-2.4324e-08
4.249,-2.462e-08
4.3076,-2.4938e-08
4.3711,-2.5265e-08
4.4355,-2.5631e-08
4.499,-2.5923e-08
4.5566,-2.6154e-08
4.6143,-2.6509e-08
4.6777,-2.6731e-08
4.7344,-2.709e-08
4.8086,-2.7463e-08
4.8721,-2.7803e-08
4.9297,-2.8059e-08
4.9873,-2.8333e-08
5.0498,-2.8675e-08
5.1143,-2.8936e-08
5.1768,-2.925e-08
5.2344,-2.9552e-08
5.2979,-2.991e-08
5.3613,-3.0198e-08
5.4248,-3.0515e-08
5.498,-3.0931e-08
5.5605,-3.1195e-08
5.624,-3.1497e-08
5.6875,-3.1795e-08
5.751,-3.2037e-08
5.8076,-3.2306e-08
5.8711,-3.2593e-08
5.9346,-3.2898e-08
5.998,-3.3153e-08
6.0547,-3.3413e-08
6.1123,-3.3682e-08
6.1816,-3.3995e-08
6.2441,-3.425e-08
6.3086,-3.4574e-08
6.373,-3.4892e-08
6.4375,-3.5208e-08
6.501,-3.544e-08
6.5645,-3.5669e-08
6.6211,-3.5919e-08
6.6787,-3.6203e-08
6.7432,-3.6459e-08
6.8008,-3.6711e-08
6.875,-3.7075e-08
6.9375,-3.727e-08
6.9951,-3.7547e-08
7.0527,-3.7804e-08
7.1162,-3.8031e-08
7.1797,-3.829e-08
7.2432,-3.8553e-08
7.2998,-3.8831e-08
7.3633,-3.9094e-08
7.4268,-3.9354e-08
7.4902,-3.9497e-08
7.5674,-3.9832e-08
7.6309,-4.0068e-08
7.6875,-4.0367e-08
7.751,-4.0659e-08
7.8076,-4.0851e-08
