time,current
0,0
0.0058594,-4.868e-08
0.068359,-2.7118e-08
0.13281,-2.5243e-08
0.19629,-2.5158e-08
0.25391,-2.579e-08
0.31738,-2.6889e-08
0.38086,-2.8126e-08
0.4375,-2.9879e-08
0.50195,-3.1396e-08
0.55859,-3.3324e-08
0.62207,-3.5036e-08
0.69043,-3.7484e-08
0.75293,-3.9693e-08
0.81738,-4.1762e-08
0.87402,-4.3959e-08
0.93066,-4.6078e-08
0.98828,-4.8326e-08
1.0449,-5.0661e-08
1.1084,-5.3117e-08
1.166,-5.5642e-08
1.2295,-5.8028e-08
1.2861,-6.0556e-08
1.3545,-6.3464e-08
1.418,-6.601e-08
1.4814,-6.8741e-08
1.5449,-7.1143e-08
1.6025,-7.3964e-08
1.666,-7.6518e-08
1.7295,-7.9145e-08
1.793,-8.1571e-08
1.8486,-8.3965e-08
1.9053,-8.6201e-08
1.9629,-8.8955e-08
2.0381,-9.1925e-08
2.1006,-9.4236e-08
2.1582,-9.656e-08
2.2139,-9.8801e-08
2.2705,-1.013e-07
2.335,-1.0366e-07
2.3916,-1.0613e-07
2.4551,-1.0867e-07
2.5186,-1.1091e-07
2.5762,-1.1299e-07
2.6328,-1.1519e-07
2.7012,-1.1786e-07
2.7637,-1.1995e-07
2.8213,-1.2231e-07
2.8848,-1.2439e-07
2.9414,-1.2676e-07
3.0039,-1.2848e-07
3.0615,-1.3068e-07
3.125,-1.3269e-07
3.1816,-1.3487e-07
3.2441,-1.3685e-07
3.3086,-1.3884e-07
3.3838,-1.4126e-07
3.4463,-1.432e-07
3.5107,-1.4492e-07
3.5674,-1.4673e-07
3.624,-1.4858e-07
3.6885,-1.5047e-07
3.7451,-1.5208e-07
3.8086,-1.5382e-07
3.8652,-1.5544e-07
3.9229,-1.5682e-07
3.9795,-1.5859e-07
4.0537,-1.6063e-07
4.1172,-1.6247e-07
4.1807,-1.6392e-07
4.2441,-1.6563e-07
4.3076,-1.6728e-07
4.3721,-1.6895e-07
4.4355,-1.7022e-07
4.4922,-1.7159e-07
4.5566,-1.7309e-07
4.6133,-1.7448e-07
4.6758,-1.7582e-07
4.7441,-1.7742e-07
4.8076,-1.7856e-07
4.8643,-1.8002e-07
4.9287,-1.8127e-07
4.9844,-1.8255e-07
5.0479,-1.8397e-07
5.1113,-1.8516e-07
5.167,-1.8641e-07
5.2246,-1.8751e-07
5.2812,-1.8861e-07
5.3369,-1.8952e-07
5.4053,-1.9092e-07
5.4678,-1.9212e-07
5.5322,-1.9294e-07
5.5879,-1.9418e-07
5.6514,-1.952e-07
5.7158,-1.9618e-07
5.7725,-1.9704e-07
5.8359,-1.9792e-07
5.8916,-1.9912e-07
5.9551,-2.0018e-07
6.0127,-2.0093e-07
6.0869,-2.0201e-07
6.1504,-2.0289e-07
6.2139,-2.0387e-07
6.2773,-2.0467e-07
6.334,-2.0542e-07
6.3916,-2.0617e-07
6.4551,-2.0716e-07
6.5186,-2.0793e-07
6.582,-2.0897e-07
6.6465,-2.0962e-07
6.71,-2.1043e-07
6.7783,-2.1137e-07
6.8408,-2.1224e-07
6.9053,-2.1281e-07
6.9688,-2.1337e-07
7.0264,-2.141e-07
7.0898,-2.1485e-07
7.1465,-2.1535e-07
7.21,-2.1596e-07
7.2744,-2.1667e-07
7.3311,-2.1735e-07
7.3867,-2.1777e-07
7.4551,-2.1849e-07
7.5186,-2.1912e-07
7.582,-2.1956e-07
7.6387,-2.2016e-07
7.7031,-2.2082e-07
7.7666,-2.2127e-07
7.8232,-2.2198e-07
7.8857,-2.2236e-07
7.9434,-2.2299e-07
8.0068,-2.2329e-07
8.0635,-2.2385e-07
8.1387,-2.2433e-07
8.2012,-2.2493e-07
8.2578,-2.2553e-07
8.3223,-2.2583e-07
8.3789,-2.2609e-07
8.4365,-2.2635e-07
8.4922,-2.2703e-07
8.5557,-2.2746e-07
8.6191,-2.2782e-07
8.6758,-2.284e-07
8.7402,-2.2858e-07
8.8154,-2.2914e-07
8.8789,-2.2946e-07
8.9355,-2.2982e-07
9,-2.3001e-07
9.0635,-2.303e-07
9.127,-2.3082e-07
9.1836,-2.3112e-07
9.2461,-2.3135e-07
9.3027,-2.3176e-07
9.3662,-2.3203e-07
9.4307,-2.3241e-07
9.5068,-2.3272e-07
9.5693,-2.3308e-07
9.626,-2.3342e-07
9.6836,-2.3357e-07
9.7471,-2.339e-07
9.8105,-2.3414e-07
9.8672,-2.3426e-07
9.9307,-2.3451e-07
9.9941,-2.3481e-07
10.059,-2.3496e-07
10.122,-2.3535e-07
10.189,-2.3564e-07
10.252,-2.3579e-07
10.314,-2.3591e-07
10.372,-2.3622e-07
10.428,-2.364e-07
10.49,-2.3669e-07
10.555,-2.3681e-07
10.618,-2.37e-07
10.683,-2.3708e-07
10.739,-2.3701e-07
10.796,-2.3741e-07
10.864,-2.3761e-07
10.928,-2.3776e-07
10.984,-2.3781e-07
11.049,-2.3792e-07
11.112,-2.3819e-07
11.176,-2.3819e-07
11.231,-2.3841e-07
11.294,-2.3863e-07
11.352,-2.387e-07
11.415,-2.3881e-07
11.479,-2.3911e-07
11.553,-2.3906e-07
11.615,-2.3948e-07
11.673,-2.3951e-07
11.736,-2.3971e-07
11.799,-2.3965e-07
11.856,-2.3993e-07
11.92,-2.3991e-07
11.983,-2.4005e-07
12.047,-2.401e-07
12.109,-2.4026e-07
12.174,-2.4037e-07
12.24,-2.4055e-07
12.304,-2.4056e-07
12.367,-2.406e-07
12.431,-2.4072e-07
12.486,-2.4071e-07
12.55,-2.4101e-07
12.614,-2.4098e-07
12.678,-2.4109e-07
12.742,-2.4107e-07
12.806,-2.4123e-07
12.863,-2.4114e-07
12.94,-2.4111e-07
13.003,-2.4131e-07
13.061,-2.413e-07
13.124,-2.4149e-07
13.181,-2.4147e-07
13.245,-2.4138e-07
13.309,-2.4137e-07
13.366,-2.4147e-07
13.43,-2.4134e-07
13.493,-2.4157e-07
13.549,-2.4167e-07
13.624,-2.414e-07
13.687,-2.4178e-07
13.751,-2.4164e-07
13.814,-2.418e-07
13.878,-2.4176e-07
13.941,-2.4159e-07
13.999,-2.4184e-07
14.062,-2.418e-07
14.118,-2.42e-07
14.183,-2.4199e-07
14.246,-2.4191e-07
14.32,-2.4181e-07
14.384,-2.4173e-07
14.439,-2.4181e-07
14.496,-2.4189e-07
