time,current
0,0
0.0058594,-8.7762e-08
0.069336,-5.7821e-08
0.13184,-6.1028e-08
0.19629,-6.7803e-08
0.25293,-7.7709e-08
0.31738,-8.9095e-08
0.38086,-1.0056e-07
0.43848,-1.1396e-07
0.50195,-1.2838e-07
0.56543,-1.4318e-07
0.62891,-1.5831e-07
0.7041,-1.7606e-07
0.76758,-1.9177e-07
0.83105,-2.0729e-07
0.89453,-2.2137e-07
0.95117,-2.351e-07
1.0078,-2.5039e-07
1.0713,-2.6542e-07
1.1348,-2.7842e-07
1.1914,-2.928e-07
1.2539,-3.0547e-07
1.3115,-3.1757e-07
1.3857,-3.3374e-07
1.4492,-3.455e-07
1.5059,-3.5634e-07
1.5615,-3.6797e-07
1.626,-3.7908e-07
1.6895,-3.9007e-07
1.7529,-3.9909e-07
1.8105,-4.0895e-07
1.874,-4.1762e-07
1.9307,-4.2688e-07
1.9951,-4.3463e-07
2.0615,-4.4417e-07
2.124,-4.5208e-07
2.1875,-4.5944e-07
2.252,-4.666e-07
2.3154,-4.7262e-07
2.3721,-4.7913e-07
2.4365,-4.8471e-07
2.4922,-4.9057e-07
2.5557,-4.9604e-07
2.6182,-5.0156e-07
2.6826,-5.0649e-07
2.7568,-5.1192e-07
2.8193,-5.164e-07
2.8828,-5.204e-07
2.9473,-5.2377e-07
3.0039,-5.2754e-07
3.0605,-5.3125e-07
3.125,-5.3431e-07
3.1826,-5.3717e-07
3.2393,-5.4051e-07
3.3027,-5.4309e-07
3.3604,-5.4609e-07
3.4414,-5.4934e-07
3.5039,-5.5162e-07
3.5684,-5.5396e-07
3.625,-5.5605e-07
3.6885,-5.5786e-07
3.7461,-5.5942e-07
3.8096,-5.6148e-07
3.873,-5.6321e-07
3.9307,-5.647e-07
3.9873,-5.6608e-07
4.0508,-5.676e-07
4.126,-5.6907e-07
4.1895,-5.7018e-07
4.2529,-5.7116e-07
4.3096,-5.725e-07
4.374,-5.7311e-07
4.4297,-5.7433e-07
4.4863,-5.7498e-07
4.5508,-5.7634e-07
4.6143,-5.7681e-07
4.6768,-5.7759e-07
4.7412,-5.7826e-07
4.8164,-5.7884e-07
4.8799,-5.7942e-07
4.9434,-5.8012e-07
5.0068,-5.8057e-07
5.0703,-5.8099e-07
5.127,-5.8086e-07
5.1836,-5.8133e-07
5.2461,-5.8147e-07
5.3105,-5.819e-07
5.374,-5.8194e-07
5.4307,-5.8221e-07
5.5049,-5.8202e-07
5.5684,-5.8207e-07
5.624,-5.8209e-07
5.6807,-5.8225e-07
