block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
4,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,6.0
5,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,10.0
6,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,2.0
7,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,6.0
8,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,10.0
9,abstract_gamma_k3,2.1887030399591633e-09,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,2.0
10,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,6.0
11,abstract_gamma_k3,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,10.0
0,post_peak_decay_matched_exponential,0.907623894359556,same_drive_raw,2.5,four_event_interval_attribution,0.9375,64,,
1,post_peak_decay_matched_exponential,1.054973050274894,same_drive_raw,7.5,four_event_interval_attribution,0.734375,64,,
2,post_peak_decay_matched_exponential,1.2473537209161456,same_drive_raw,12.5,four_event_interval_attribution,0.4375,64,,
3,post_peak_decay_matched_exponential,1.3524847952124455,same_drive_raw,17.5,four_event_interval_attribution,0.328125,64,,
4,post_peak_decay_matched_exponential,1.4197496197751183,same_drive_raw,22.5,four_event_interval_attribution,0.328125,64,,
5,post_peak_decay_matched_exponential,1.4797894313054,same_drive_raw,27.5,four_event_interval_attribution,0.140625,64,,
6,post_peak_decay_matched_exponential,1.5961171774942091,same_drive_raw,35.0,four_event_interval_attribution,0.03125,64,,
7,post_peak_decay_matched_exponential,1.6147053986698248,same_drive_raw,45.0,four_event_interval_attribution,0.0,64,,
0,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,2.0
1,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,6.0
2,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,10.0,10.0
3,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,2.0
4,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,6.0
5,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,20.0,10.0
6,post_peak_decay_matched_exponential,8.309325449928927e-16,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,2.0
7,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,6.0
8,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,30.0,10.0
9,post_peak_decay_matched_exponential,2.0143281434630425e-09,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,2.0
10,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,6.0
11,post_peak_decay_matched_exponential,0.0,same_drive_raw,,two_cue_temporal_order,1.0,64,40.0,10.0
0,physical_headroom_v1,1.8621657635305828,unit_peak,2.5,four_event_interval_attribution,0.0,64,,
1,physical_headroom_v1,1.4512951425556846,unit_peak,7.5,four_event_interval_attribution,0.078125,64,,
2,physical_headroom_v1,1.180421727082956,unit_peak,12.5,four_event_interval_attribution,0.375,64,,
3,physical_headroom_v1,1.0564351080077015,unit_peak,17.5,four_event_interval_attribution,0.921875,64,,
4,physical_headroom_v1,1.0378789609224448,unit_peak,22.5,four_event_interval_attribution,0.890625,64,,
5,physical_headroom_v1,1.1348377212402048,unit_peak,27.5,four_event_interval_attribution,0.59375,64,,
6,physical_headroom_v1,1.3315723783080053,unit_peak,35.0,four_event_interval_attribution,0.1875,64,,
7,physical_headroom_v1,1.5742676967478224,unit_peak,45.0,four_event_interval_attribution,0.046875,64,,
0,physical_headroom_v1,0.6630175249732388,unit_peak,,two_cue_temporal_order,0.46875,64,10.0,2.0
1,physical_headroom_v1,0.602711634146347,unit_peak,,two_cue_temporal_order,1.0,64,10.0,6.0
2,physical_headroom_v1,0.5403944633269423,unit_peak,,two_cue_temporal_order,1.0,64,10.0,10.0
3,physical_headroom_v1,0.7034786329146404,unit_peak,,two_cue_temporal_order,0.4375,64,20.0,2.0
4,physical_headroom_v1,0.6874276097299891,unit_peak,,two_cue_temporal_order,0.59375,64,20.0,6.0
5,physical_headroom_v1,0.6968223360853456,unit_peak,,two_cue_temporal_order,0.5,64,20.0,10.0
6,physical_headroom_v1,0.7270707631853248,unit_peak,,two_cue_temporal_order,0.34375,64,30.0,2.0
7,physical_headroom_v1,0.7510347450632993,unit_peak,,two_cue_temporal_order,0.390625,64,30.0,6.0
8,physical_headroom_v1,0.7561275980062605,unit_peak,,two_cue_temporal_order,0.0,64,30.0,10.0
9,physical_headroom_v1,0.7034415476603763,unit_peak,,two_cue_temporal_order,0.546875,64,40.0,2.0
10,physical_headroom_v1,0.7429337073459565,unit_peak,,two_cue_temporal_order,0.453125,64,40.0,6.0
11,physical_headroom_v1,0.7700684932638183,unit_peak,,two_cue_temporal_order,0.0,64,40.0,10.0
0,linear_erlang_v1,1.1691872113264643,unit_peak,2.5,four_event_interval_attribution,0.65625,64,,
1,linear_erlang_v1,1.019393261038104,unit_peak,7.5,four_event_interval_attribution,0.890625,64,,
2,linear_erlang_v1,1.288640569673881,unit_peak,12.5,four_event_interval_attribution,0.578125,64,,
3,linear_erlang_v1,1.4483835993201497,unit_peak,17.5,four_event_interval_attribution,0.34375,64,,
4,linear_erlang_v1,1.4762273597310132,unit_peak,22.5,four_event_interval_attribution,0.359375,64,,
5,linear_erlang_v1,1.4897086818219951,unit_peak,27.5,four_event_interval_attribution,0.140625,64,,
6,linear_erlang_v1,1.4905568808064185,unit_peak,35.0,four_event_interval_attribution,0.046875,64,,
7,linear_erlang_v1,1.4850392659329632,unit_peak,45.0,four_event_interval_attribution,0.0,64,,
0,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,2.0
1,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,6.0
2,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,10.0
3,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,2.0
4,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,6.0
5,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,10.0
6,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,2.0
7,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,6.0
8,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,10.0
9,linear_erlang_v1,8.582948032859275e-10,unit_peak,,two_cue_temporal_order,1.0,64,40.0,2.0
10,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,6.0
