amplitude,bias,candidate,held_out_group,nrmse,offset,trial
3.594812846693383e-08,0.8,kww,0.8,0.048775597135121314,6.484807152616249e-08,1
3.779367167848174e-08,0.8,kww,0.8,0.051446338939375974,6.184624501216347e-08,2
3.7437712352768935e-08,0.8,kww,0.8,0.05306862689401775,5.916429551668158e-08,3
3.715718797227227e-08,0.8,physical_k2,0.8,0.07040957730059612,3.923860927500493e-08,1
3.151213915518127e-08,0.8,physical_k2,0.8,0.08223433126801952,4.225551310700169e-08,2
3.16613610388957e-08,0.8,physical_k2,0.8,0.08385051227662654,3.9316406986320934e-08,3
3.26544765162659e-08,0.8,physical_k3,0.8,0.07161845111249035,4.435640953835616e-08,1
2.722682591878841e-08,0.8,physical_k3,0.8,0.08340599813019701,4.703914933703459e-08,2
2.7400218096258946e-08,0.8,physical_k3,0.8,0.08503773268339955,4.408057728215653e-08,3
6.639320547538196e-08,0.8,physical_k4,0.8,0.07139885828843032,4.458493856813269e-08,1
5.560624759409415e-08,0.8,physical_k4,0.8,0.08315777687022759,4.711453230598712e-08,2
5.59718029470041e-08,0.8,physical_k4,0.8,0.0847712825706422,4.4151138721986354e-08,3
3.466182601028045e-08,0.8,physical_k5,0.8,0.07126505591496128,4.54752677263116e-08,1
2.9221113499716468e-08,0.8,physical_k5,0.8,0.08289680752817354,4.7695901735351346e-08,2
2.943245902180198e-08,0.8,physical_k5,0.8,0.08448049779715705,4.471970120705422e-08,3
4.224532581158004e-08,0.8,linear_k2,0.8,0.04642223535590847,6.429353854824754e-08,1
4.50867487987316e-08,0.8,linear_k2,0.8,0.04683906893171564,6.108733432629491e-08,2
4.465922898467803e-08,0.8,linear_k2,0.8,0.04845592964063386,5.841456355413265e-08,3
3.947294752788522e-08,0.8,linear_k3,0.8,0.047150893530119545,6.453027073499128e-08,1
4.1695764204352677e-08,0.8,linear_k3,0.8,0.04910476517027466,6.145833485012881e-08,2
4.1306068295908903e-08,0.8,linear_k3,0.8,0.05071215979972722,5.878006653805011e-08,3
3.776558036072517e-08,0.8,linear_k4,0.8,0.04799921162252738,6.472908533788633e-08,1
3.970293933940015e-08,0.8,linear_k4,0.8,0.05063503208988059,6.172153063477138e-08,2
3.9332779585270145e-08,0.8,linear_k4,0.8,0.05224649905107846,5.9040200477349595e-08,3
3.659414749068736e-08,0.8,linear_k5,0.8,0.04866823369506679,6.487623655279448e-08,1
3.837809372199845e-08,0.8,linear_k5,0.8,0.051640544442327574,6.190289654732911e-08,2
3.802056855975198e-08,0.8,linear_k5,0.8,0.05325562577643971,5.921953398477519e-08,3
3.084486519247057e-08,0.9,kww,0.9,0.07738188867537601,5.376992484992805e-08,1
3.610212089129226e-08,0.9,kww,0.9,0.067761701699592,5.100906074506717e-08,2
3.641051136024722e-08,0.9,kww,0.9,0.066469069507841,4.9118351773564796e-08,3
5.912109933541239e-08,0.9,physical_k2,0.9,0.09507247401557428,3.6041915168995193e-09,1
5.6743918268836064e-08,0.9,physical_k2,0.9,0.10439042131349888,4.6020330521969655e-09,2
5.541052506843835e-08,0.9,physical_k2,0.9,0.10677245287957969,4.1085977611106624e-09,3
5.600301498592434e-08,0.9,physical_k3,0.9,0.09554122693514623,6.7263457088337905e-09,1
5.388696301608279e-08,0.9,physical_k3,0.9,0.10465192962528441,7.464720764551325e-09,2
5.2635241460274986e-08,0.9,physical_k3,0.9,0.1070130533621907,6.889678777646279e-09,3
5.3553411679473404e-08,0.9,physical_k4,0.9,0.09500932781050433,9.148117157888536e-09,1
5.1498900551502806e-08,0.9,physical_k4,0.9,0.1042285472889663,9.825820734930723e-09,2
5.0299660514082306e-08,0.9,physical_k4,0.9,0.10659880788071903,9.198980381118253e-09,3
6.163771475901219e-08,0.9,physical_k5,0.9,0.09508171996042175,1.0200998453186786e-08,1
5.928550177184096e-08,0.9,physical_k5,0.9,0.10427218721147297,1.0827921292709062e-08,2
5.790608659645689e-08,0.9,physical_k5,0.9,0.10663765041821223,1.0176822368883537e-08,3
3.1511298342230824e-08,0.9,linear_k2,0.9,0.08010928518301304,5.40545833570428e-08,1
3.712676739671201e-08,0.9,linear_k2,0.9,0.07087365995953251,5.128004242705536e-08,2
3.747153653143833e-08,0.9,linear_k2,0.9,0.06969898406837835,4.938460404984539e-08,3
3.160526532478855e-08,0.9,linear_k3,0.9,0.07783522958657645,5.386211247063845e-08,1
3.704021684060953e-08,0.9,linear_k3,0.9,0.06823370251967452,5.110418409053524e-08,2
3.7360914427359474e-08,0.9,linear_k3,0.9,0.06695822935731595,4.9213180295638576e-08,3
3.138590145999396e-08,0.9,linear_k4,0.9,0.07705979188118686,5.380153254313924e-08,1
3.671562048532413e-08,0.9,linear_k4,0.9,0.06735523414466953,5.105099790316589e-08,2
3.70261688418743e-08,0.9,linear_k4,0.9,0.06604513949065417,4.9161469099693257e-08,3
3.114002307769767e-08,0.9,linear_k5,0.9,0.07677109675356215,5.377319722530916e-08,1
3.639976801968846e-08,0.9,linear_k5,0.9,0.06704785878591552,5.102547648011864e-08,2
3.670462527231128e-08,0.9,linear_k5,0.9,0.06572711613335822,4.913651998050359e-08,3
1.597242512437042e-07,1.1,kww,1.1,0.04545436396936422,8.99261178469207e-08,1
1.899177508246651e-07,1.1,kww,1.1,0.05904799723140423,8.45728047518611e-08,2
2.0245401076426777e-07,1.1,kww,1.1,0.06797289638451207,8.446821101385472e-08,3
9.284332189148332e-08,1.1,physical_k2,1.1,0.15425846894487347,5.513308800884433e-08,1
8.202877192314486e-08,1.1,physical_k2,1.1,0.16796734818434148,7.12066050123046e-08,2
7.467648199571396e-08,1.1,physical_k2,1.1,0.17094488662636606,8.282398598030387e-08,3
8.520298933615604e-08,1.1,physical_k3,1.1,0.15424103346431323,6.278673687728595e-08,1
7.473167109577326e-08,1.1,physical_k3,1.1,0.1679899712763142,7.850812488291476e-08,2
6.74354030953185e-08,1.1,physical_k3,1.1,0.17098587246561228,9.006163034791848e-08,3
8.232134558296264e-08,1.1,physical_k4,1.1,0.15418715305819083,6.566860505759657e-08,1
7.242319921573033e-08,1.1,physical_k4,1.1,0.16794984230598237,8.081914990289647e-08,2
6.548354052811295e-08,1.1,physical_k4,1.1,0.17095277961120095,9.201713184907712e-08,3
1.9725502225137442e-07,1.1,physical_k5,1.1,0.15493628301595816,8.057046822856699e-08,1
1.595884064247729e-07,1.1,physical_k5,1.1,0.16861625652770465,9.862399879732392e-08,2
1.3183665996050037e-07,1.1,physical_k5,1.1,0.17156970590552295,1.1231188036700223e-07,3
1.6657777074567927e-07,1.1,linear_k2,1.1,0.03679090288745945,8.99552662941224e-08,1
1.9935722465056323e-07,1.1,linear_k2,1.1,0.04847239812567807,8.417615742885106e-08,2
2.1348274881790692e-07,1.1,linear_k2,1.1,0.057096715178854895,8.371613286590595e-08,3
1.6443185235258884e-07,1.1,linear_k3,1.1,0.038488151033854105,8.878501598811429e-08,1
1.9623939746374016e-07,1.1,linear_k3,1.1,0.05139367979878084,8.296656683672772e-08,2
2.097938132482877e-07,1.1,linear_k3,1.1,0.060326686678957915,8.25432636778777e-08,3
1.6292465800275017e-07,1.1,linear_k4,1.1,0.04072566949707783,8.897777818285017e-08,1
1.9412043762736865e-07,1.1,linear_k4,1.1,0.054098148442218025,8.330797484918115e-08,2
2.0728773226608225e-07,1.1,linear_k4,1.1,0.06310861726946643,8.299381760001336e-08,3
1.6171632399921467e-07,1.1,linear_k5,1.1,0.04251113747182693,8.9490086773061e-08,1
1.924972325896784e-07,1.1,linear_k5,1.1,0.05605850795068391,8.398177680243718e-08,2
2.0540010978412516e-07,1.1,linear_k5,1.1,0.06507306325241911,8.376838995223429e-08,3
1.2333143200798388e-07,1.2,kww,1.2,0.019240411669503448,1.1753826917386279e-07,1
1.3497786834873027e-07,1.2,kww,1.2,0.01605076328717981,1.1014692310384624e-07,2
1.309993276822027e-07,1.2,kww,1.2,0.01727865240064244,1.0667314359361261e-07,3
7.587389406252503e-08,1.2,physical_k2,1.2,0.13078700056297635,7.148769816200547e-08,1
6.069946190449472e-08,1.2,physical_k2,1.2,0.14075955899578127,8.184940541769134e-08,2
6.492460636636475e-08,1.2,physical_k2,1.2,0.14201646921122685,7.328087472557612e-08,3
8.718852126432236e-08,1.2,physical_k3,1.2,0.13068070657599107,7.33442705740558e-08,1
7.0535869665917e-08,1.2,physical_k3,1.2,0.1406718489010014,8.267455423962693e-08,2
7.525918433255754e-08,1.2,physical_k3,1.2,0.14191099665649218,7.432100782785867e-08,3
7.322966440347468e-08,1.2,physical_k4,1.2,0.13066948541491666,7.394649025011819e-08,1
5.957005101140945e-08,1.2,physical_k4,1.2,0.14065248072653777,8.283682152631151e-08,2
6.295021654091006e-08,1.2,physical_k4,1.2,0.1419158210100065,7.509886428079886e-08,3
7.225500133276916e-08,1.2,physical_k5,1.2,0.13066203167592805,7.516962724873329e-08,1
5.8986384024767104e-08,1.2,physical_k5,1.2,0.14063908003589298,8.362477636540363e-08,2
6.214596193590532e-08,1.2,physical_k5,1.2,0.1419086631870114,7.61169530138397e-08,3
1.2471429611185324e-07,1.2,linear_k2,1.2,0.02218513770399195,1.1828817747186114e-07,1
1.3686948583238192e-07,1.2,linear_k2,1.2,0.01695778570814407,1.1087957654210475e-07,2
1.3219548017335725e-07,1.2,linear_k2,1.2,0.02294193978015918,1.0753160396867918e-07,3
1.237871028298388e-07,1.2,linear_k3,1.2,0.02021519604445479,1.1806130645517185e-07,1
1.357586917546605e-07,1.2,linear_k3,1.2,0.014779466320112091,1.1065250933864611e-07,2
1.3118437777573084e-07,1.2,linear_k3,1.2,0.020886064674306436,1.0729801347488759e-07,3
1.2287174759679623e-07,1.2,linear_k4,1.2,0.019947684540798483,1.1797944914800227e-07,1
1.3471716163856726e-07,1.2,linear_k4,1.2,0.014726912298751333,1.1057165981108415e-07,2
1.3016877024678852e-07,1.2,linear_k4,1.2,0.0209032759957369,1.0722202211126006e-07,3
