condition,held_out_mouse,session_id,n_scored_trials,log_loss
device,BSD015,p111,977,0.4872620947471467
device,BSD015,p116,697,0.4853574683777483
device,BSD015,p117,755,0.5222878617669925
device,BSD016,p106,756,0.41870661414661325
device,BSD016,p107,914,0.39309396541692504
device,BSD016,p109,938,0.4630802623021506
device,BSD016,p110,984,0.42768667124353776
device,BSD016,p112,995,0.42207980559794306
device,BSD016,p113,975,0.42401296079183703
device,BSD017,p153,788,0.5115649738424796
device,BSD017,p154,743,0.5776483208581027
device,BSD017,p156,1009,0.6607504170429055
device,BSD017,p157,818,0.617606099387062
device,BSD017,p159,850,0.6363658948510528
device,BSD017,p160,843,0.7133595377288374
device,BSD017,p162,957,0.610916313015307
device,BSD017,p163,954,0.6097789267782497
device,BSD019,p139,591,0.6750336329350594
device,BSD019,p140,1181,0.566387884256698
device,BSD019,p142,994,0.5320193639614976
device,BSD019,p143,973,0.4462145192222459
device,BSD019,p145,979,0.46794862091140144
device,BSD019,p146,1075,0.45716589824806336
device,BSD019,p148,1069,0.46548562488896245
device,BSD019,p150,1031,0.4763545565928154
device,BSD019,p152,972,0.5135900982308854
device,BSD019,p153,740,0.431281272608923
matched_exponential,BSD011,p148,574,0.5751515609971488
matched_exponential,BSD011,p149,668,0.47740120235293165
matched_exponential,BSD011,p150,510,0.4537817428105231
matched_exponential,BSD011,p151,466,0.5344130255807645
matched_exponential,BSD011,p152,750,0.5026393198435432
matched_exponential,BSD011,p153,777,0.4778461907353923
matched_exponential,BSD011,p154,304,0.575475444425904
matched_exponential,BSD011,p155,707,0.4327360197477567
matched_exponential,BSD011,p156,910,0.5077219917172402
matched_exponential,BSD011,p157,807,0.44051944235067453
matched_exponential,BSD011,p158,1060,0.4817387510289049
matched_exponential,BSD011,p159,842,0.4598410988918508
matched_exponential,BSD011,p160,441,0.4999477874096806
matched_exponential,BSD011,p161,570,0.4426346470591449
matched_exponential,BSD015,p104,1012,0.5564980739540999
matched_exponential,BSD015,p105,981,0.5235956285862394
matched_exponential,BSD015,p107,980,0.5242118957365114
matched_exponential,BSD015,p108,921,0.48530396390838787
matched_exponential,BSD015,p110,1136,0.5287482611925105
matched_exponential,BSD015,p111,977,0.4872618610715714
matched_exponential,BSD015,p116,697,0.48567849506590033
matched_exponential,BSD015,p117,755,0.5222465328546775
matched_exponential,BSD016,p106,756,0.4188837785802568
matched_exponential,BSD016,p107,914,0.3929077300212566
matched_exponential,BSD016,p109,938,0.4630219802307412
matched_exponential,BSD016,p110,984,0.4278130241404214
matched_exponential,BSD016,p112,995,0.42215097369431914
matched_exponential,BSD016,p113,975,0.4241512719326885
matched_exponential,BSD017,p153,788,0.5117765768237141
matched_exponential,BSD017,p154,743,0.5777811518255485
matched_exponential,BSD017,p156,1009,0.6608559079369921
matched_exponential,BSD017,p157,818,0.6176600883798574
matched_exponential,BSD017,p159,850,0.6364053179700118
matched_exponential,BSD017,p160,843,0.7132525747998896
matched_exponential,BSD017,p162,957,0.6112386395488569
matched_exponential,BSD017,p163,954,0.6099343584502949
matched_exponential,BSD019,p139,591,0.6749620167557351
matched_exponential,BSD019,p140,1181,0.5661798788377541
matched_exponential,BSD019,p142,994,0.5318466522124154
matched_exponential,BSD019,p143,973,0.44588028130762797
matched_exponential,BSD019,p145,979,0.46780620529669814
matched_exponential,BSD019,p146,1075,0.4570571700752437
matched_exponential,BSD019,p148,1069,0.4656961222503689
matched_exponential,BSD019,p150,1031,0.4765248196721896
matched_exponential,BSD019,p152,972,0.5141436056593638
matched_exponential,BSD019,p153,740,0.4314415202496992
linear_device,BSD011,p148,574,0.5750546328917295
linear_device,BSD011,p149,668,0.4775292476399495
linear_device,BSD011,p150,510,0.45388586799162345
linear_device,BSD011,p151,466,0.5343527034930479
linear_device,BSD011,p152,750,0.5025620652944865
linear_device,BSD011,p153,777,0.47790264190154697
linear_device,BSD011,p154,304,0.5753438730949946
linear_device,BSD011,p155,707,0.4327214278590949
linear_device,BSD011,p156,910,0.507555562147886
linear_device,BSD011,p157,807,0.440236125554604
linear_device,BSD011,p158,1060,0.4817892169349267
linear_device,BSD011,p159,842,0.4596399158600575
linear_device,BSD011,p160,441,0.5000027477528055
linear_device,BSD011,p161,570,0.4426491198693754
linear_device,BSD015,p104,1012,0.5564149538688514
linear_device,BSD015,p105,981,0.5237087295942862
linear_device,BSD015,p107,980,0.5242336366095404
linear_device,BSD015,p108,921,0.48531869261497446
linear_device,BSD015,p110,1136,0.5286279762531678
linear_device,BSD015,p111,977,0.48726153641770253
linear_device,BSD015,p116,697,0.4853639887856301
linear_device,BSD015,p117,755,0.5222819609953241
linear_device,BSD016,p106,756,0.4187217745173352
linear_device,BSD016,p107,914,0.3931091839801555
linear_device,BSD016,p109,938,0.46308656903925505
linear_device,BSD016,p110,984,0.4276880305087883
linear_device,BSD016,p112,995,0.42207175686683296
linear_device,BSD016,p113,975,0.4240080552519831
linear_device,BSD017,p153,788,0.5115342131626991
linear_device,BSD017,p154,743,0.5776341666120708
linear_device,BSD017,p156,1009,0.6607830416906963
linear_device,BSD017,p157,818,0.6176044168668542
linear_device,BSD017,p159,850,0.6363571296147702
linear_device,BSD017,p160,843,0.7134234848880873
linear_device,BSD017,p162,957,0.6108820051221125
linear_device,BSD017,p163,954,0.6097668714488639
linear_device,BSD019,p139,591,0.6750268274993108
linear_device,BSD019,p140,1181,0.5664325842344332
linear_device,BSD019,p142,994,0.532013340050704
linear_device,BSD019,p143,973,0.4461902717399514
linear_device,BSD019,p145,979,0.4679512615954684
linear_device,BSD019,p146,1075,0.45721055673355065
linear_device,BSD019,p148,1069,0.4654900986447415
linear_device,BSD019,p150,1031,0.4763510494032257
linear_device,BSD019,p152,972,0.5135977056556027
linear_device,BSD019,p153,740,0.43132223521564483
linear_matched_exponential,BSD011,p148,574,0.5751499309166372
linear_matched_exponential,BSD011,p149,668,0.47740295638304103
linear_matched_exponential,BSD011,p150,510,0.45379906964394573
linear_matched_exponential,BSD011,p151,466,0.5344096254558209
linear_matched_exponential,BSD011,p152,750,0.5026365164316808
linear_matched_exponential,BSD011,p153,777,0.47784365481893415
linear_matched_exponential,BSD011,p154,304,0.5754909415149566
linear_matched_exponential,BSD011,p155,707,0.4327324075220468
linear_matched_exponential,BSD011,p156,910,0.5077534988303986
linear_matched_exponential,BSD011,p157,807,0.44056247558150813
linear_matched_exponential,BSD011,p158,1060,0.48174491616383436
linear_matched_exponential,BSD011,p159,842,0.4598315404398651
linear_matched_exponential,BSD011,p160,441,0.4999517793156866
linear_matched_exponential,BSD011,p161,570,0.4426342333388355
linear_matched_exponential,BSD015,p104,1012,0.5565077935497477
linear_matched_exponential,BSD015,p105,981,0.5235982752044328
linear_matched_exponential,BSD015,p107,980,0.5242008309940576
linear_matched_exponential,BSD015,p108,921,0.4853042010492035
linear_matched_exponential,BSD015,p110,1136,0.5287736293108726
linear_matched_exponential,BSD015,p111,977,0.48726515820459204
linear_matched_exponential,BSD015,p116,697,0.4857240288969845
linear_matched_exponential,BSD015,p117,755,0.5222412820124206
linear_matched_exponential,BSD016,p106,756,0.4188933766576584
linear_matched_exponential,BSD016,p107,914,0.3928794222102681
linear_matched_exponential,BSD016,p109,938,0.46302756903506875
linear_matched_exponential,BSD016,p110,984,0.4278292569054172
linear_matched_exponential,BSD016,p112,995,0.422151876874805
linear_matched_exponential,BSD016,p113,975,0.42417451383894356
linear_matched_exponential,BSD017,p153,788,0.5118621071693102
linear_matched_exponential,BSD017,p154,743,0.5777918167195583
linear_matched_exponential,BSD017,p156,1009,0.6608116534126346
linear_matched_exponential,BSD017,p157,818,0.6176673683409593
linear_matched_exponential,BSD017,p159,850,0.6364180913581533
linear_matched_exponential,BSD017,p160,843,0.7131813735324798
linear_matched_exponential,BSD017,p162,957,0.6113678290122364
linear_matched_exponential,BSD017,p163,954,0.6099367880538508
linear_matched_exponential,BSD019,p139,591,0.6749658099377132
linear_matched_exponential,BSD019,p140,1181,0.5661638915404574
linear_matched_exponential,BSD019,p142,994,0.531841731118228
linear_matched_exponential,BSD019,p143,973,0.4458675728279482
linear_matched_exponential,BSD019,p145,979,0.4678075176295887
linear_matched_exponential,BSD019,p146,1075,0.45702735033765723
linear_matched_exponential,BSD019,p148,1069,0.46570580425565894
linear_matched_exponential,BSD019,p150,1031,0.47656755551376245
linear_matched_exponential,BSD019,p152,972,0.5141732154199226
linear_matched_exponential,BSD019,p153,740,0.4314655017168009
no_trace,BSD011,p148,574,0.5749710578652545
no_trace,BSD011,p149,668,0.47766099958943253
no_trace,BSD011,p150,510,0.4539255463823859
no_trace,BSD011,p151,466,0.534258318151984
no_trace,BSD011,p152,750,0.5025170780919757
no_trace,BSD011,p153,777,0.4778846668121307
no_trace,BSD011,p154,304,0.5755659099134538
no_trace,BSD011,p155,707,0.4326747665350238
no_trace,BSD011,p156,910,0.5080920937994913
no_trace,BSD011,p157,807,0.44101845478352864
no_trace,BSD011,p158,1060,0.48198191540035823
no_trace,BSD011,p159,842,0.4593641026713023
no_trace,BSD011,p160,441,0.5000945760418524
no_trace,BSD011,p161,570,0.4427112236745832
no_trace,BSD015,p104,1012,0.5565390946138423
no_trace,BSD015,p105,981,0.5238368763147789
no_trace,BSD015,p107,980,0.5241136395132675
no_trace,BSD015,p108,921,0.48533846547891857
no_trace,BSD015,p110,1136,0.5290430193912629
no_trace,BSD015,p111,977,0.4873107642525268
no_trace,BSD015,p116,697,0.4859559137331207
no_trace,BSD015,p117,755,0.522141211792786
no_trace,BSD016,p106,756,0.4188866099858396
no_trace,BSD016,p107,914,0.3926491432952639
no_trace,BSD016,p109,938,0.46314321632964045
no_trace,BSD016,p110,984,0.4279025510196839
no_trace,BSD016,p112,995,0.4220050371340351
no_trace,BSD016,p113,975,0.42431589523858443
no_trace,BSD017,p153,788,0.5130060274347789
no_trace,BSD017,p154,743,0.5784372852183561
no_trace,BSD017,p156,1009,0.6604137903478167
no_trace,BSD017,p157,818,0.6176888088371648
no_trace,BSD017,p159,850,0.6367909603690816
no_trace,BSD017,p160,843,0.7128454041695043
no_trace,BSD017,p162,957,0.6119150115460712
no_trace,BSD017,p163,954,0.6098397221736951
no_trace,BSD019,p139,591,0.6750194331803657
no_trace,BSD019,p140,1181,0.5662630759846796
no_trace,BSD019,p142,994,0.5318917718390972
no_trace,BSD019,p143,973,0.4459163863026105
no_trace,BSD019,p145,979,0.4679198843319077
no_trace,BSD019,p146,1075,0.45684457995900285
no_trace,BSD019,p148,1069,0.46564316136578376
no_trace,BSD019,p150,1031,0.47686058646627055
no_trace,BSD019,p152,972,0.513820204322916
no_trace,BSD019,p153,740,0.4316172775704316
shuffled_device,BSD011,p148,574,0.5749711148326118
shuffled_device,BSD011,p149,668,0.4776612390522268
shuffled_device,BSD011,p150,510,0.4539255450076366
shuffled_device,BSD011,p151,466,0.5342583263687367
shuffled_device,BSD011,p152,750,0.5025170152031313
shuffled_device,BSD011,p153,777,0.47788486983095135
shuffled_device,BSD011,p154,304,0.5755660539503532
shuffled_device,BSD011,p155,707,0.43267454209530387
shuffled_device,BSD011,p156,910,0.5080917145975195
shuffled_device,BSD011,p157,807,0.44101824759390806
shuffled_device,BSD011,p158,1060,0.4819819596934138
shuffled_device,BSD011,p159,842,0.45936300174008476
shuffled_device,BSD011,p160,441,0.5000945090075025
shuffled_device,BSD011,p161,570,0.44271093076892576
shuffled_device,BSD015,p104,1012,0.5565389767644108
shuffled_device,BSD015,p105,981,0.5238369846181266
shuffled_device,BSD015,p107,980,0.5241136770376139
shuffled_device,BSD015,p108,921,0.4853384757125798
shuffled_device,BSD015,p110,1136,0.5290432222644329
shuffled_device,BSD015,p111,977,0.4873107920680175
shuffled_device,BSD015,p116,697,0.4859556523606551
shuffled_device,BSD015,p117,755,0.5221415556280864
shuffled_device,BSD016,p106,756,0.4188869241760381
shuffled_device,BSD016,p107,914,0.3926493837777926
shuffled_device,BSD016,p109,938,0.46314365319396245
shuffled_device,BSD016,p110,984,0.42790278293494105
shuffled_device,BSD016,p112,995,0.42200524426804414
shuffled_device,BSD016,p113,975,0.424315897674143
shuffled_device,BSD017,p153,788,0.5130059981234647
shuffled_device,BSD017,p154,743,0.5784380045323975
shuffled_device,BSD017,p156,1009,0.6604149073610867
shuffled_device,BSD017,p157,818,0.6176896647526156
shuffled_device,BSD017,p159,850,0.6367917740399865
shuffled_device,BSD017,p160,843,0.7128466820974548
shuffled_device,BSD017,p162,957,0.6119160680344463
shuffled_device,BSD017,p163,954,0.6098404909315565
shuffled_device,BSD019,p139,591,0.675014049301444
shuffled_device,BSD019,p140,1181,0.5662613783815516
shuffled_device,BSD019,p142,994,0.5318913784712096
shuffled_device,BSD019,p143,973,0.44591877238977645
shuffled_device,BSD019,p145,979,0.4679208758415021
shuffled_device,BSD019,p146,1075,0.45684650809677746
shuffled_device,BSD019,p148,1069,0.4656445501547265
shuffled_device,BSD019,p150,1031,0.4768612641751995
shuffled_device,BSD019,p152,972,0.5138200514572187
shuffled_device,BSD019,p153,740,0.43161997598144547
shifted_device,BSD011,p148,574,0.5749887121908966
shifted_device,BSD011,p149,668,0.4775420905017938
shifted_device,BSD011,p150,510,0.45385368961336
shifted_device,BSD011,p151,466,0.5342695845646911
shifted_device,BSD011,p152,750,0.5025271000320923
shifted_device,BSD011,p153,777,0.4778848882558555
shifted_device,BSD011,p154,304,0.575565372686797
shifted_device,BSD011,p155,707,0.43269961637352017
shifted_device,BSD011,p156,910,0.5080934694182252
shifted_device,BSD011,p157,807,0.44103815328293106
shifted_device,BSD011,p158,1060,0.4819438717973191
shifted_device,BSD011,p159,842,0.4593824285993268
shifted_device,BSD011,p160,441,0.5000879094968682
shifted_device,BSD011,p161,570,0.44266244838734886
shifted_device,BSD015,p104,1012,0.5565233964134455
shifted_device,BSD015,p105,981,0.5238823456233496
shifted_device,BSD015,p107,980,0.5240278883596383
shifted_device,BSD015,p108,921,0.4853231961337899
shifted_device,BSD015,p110,1136,0.5290198044482555
shifted_device,BSD015,p111,977,0.48730295850660327
shifted_device,BSD015,p116,697,0.4860210225537232
shifted_device,BSD015,p117,755,0.5221600850448201
shifted_device,BSD016,p106,756,0.418845094371145
shifted_device,BSD016,p107,914,0.39433203698597646
shifted_device,BSD016,p109,938,0.46312263583700547
shifted_device,BSD016,p110,984,0.42787571746829295
shifted_device,BSD016,p112,995,0.42189607625337533
shifted_device,BSD016,p113,975,0.42453798360933637
shifted_device,BSD017,p153,788,0.513078386247334
shifted_device,BSD017,p154,743,0.578475271701659
shifted_device,BSD017,p156,1009,0.6604048579095972
shifted_device,BSD017,p157,818,0.6176898155889098
shifted_device,BSD017,p159,850,0.6367906713207669
shifted_device,BSD017,p160,843,0.712824998845146
shifted_device,BSD017,p162,957,0.6119257317354625
shifted_device,BSD017,p163,954,0.6098455671833459
shifted_device,BSD019,p139,591,0.67500778312287
shifted_device,BSD019,p140,1181,0.5662565196567644
shifted_device,BSD019,p142,994,0.531884861484928
shifted_device,BSD019,p143,973,0.44590980721723944
shifted_device,BSD019,p145,979,0.4679092865294449
shifted_device,BSD019,p146,1075,0.456848439003552
shifted_device,BSD019,p148,1069,0.4656449596156482
shifted_device,BSD019,p150,1031,0.47684373112197087
shifted_device,BSD019,p152,972,0.5138041494708891
shifted_device,BSD019,p153,740,0.4316058695836363
outcome_rl,BSD011,p148,574,0.496785824434899
outcome_rl,BSD011,p149,668,0.41802347212242347
outcome_rl,BSD011,p150,510,0.38321619660619205
outcome_rl,BSD011,p151,466,0.4385013533181773
outcome_rl,BSD011,p152,750,0.4291527342983071
outcome_rl,BSD011,p153,777,0.4080550445993128
outcome_rl,BSD011,p154,304,0.4975623378230606
outcome_rl,BSD011,p155,707,0.3587468138973451
outcome_rl,BSD011,p156,910,0.4306357846846957
outcome_rl,BSD011,p157,807,0.36951479675896576
outcome_rl,BSD011,p158,1060,0.4015108104438646
outcome_rl,BSD011,p159,842,0.3832940756686881
outcome_rl,BSD011,p160,441,0.3979643630657633
outcome_rl,BSD011,p161,570,0.374815892788865
outcome_rl,BSD015,p104,1012,0.4857835477058279
outcome_rl,BSD015,p105,981,0.4589438177754935
outcome_rl,BSD015,p107,980,0.44729901359807606
outcome_rl,BSD015,p108,921,0.4084717316058235
outcome_rl,BSD015,p110,1136,0.4534331312172293
outcome_rl,BSD015,p111,977,0.4161847519527826
outcome_rl,BSD015,p116,697,0.40834878360515114
outcome_rl,BSD015,p117,755,0.43645739475333395
outcome_rl,BSD016,p106,756,0.3550598451858079
outcome_rl,BSD016,p107,914,0.3358179950431651
outcome_rl,BSD016,p109,938,0.3818843323298646
outcome_rl,BSD016,p110,984,0.3530399460214296
outcome_rl,BSD016,p112,995,0.3618775914902059
outcome_rl,BSD016,p113,975,0.3535340329835647
outcome_rl,BSD017,p153,788,0.4409715799455738
outcome_rl,BSD017,p154,743,0.5085509621321395
outcome_rl,BSD017,p156,1009,0.5709003865078348
outcome_rl,BSD017,p157,818,0.5211084455802684
outcome_rl,BSD017,p159,850,0.5483636097492138
outcome_rl,BSD017,p160,843,0.6058546651188949
outcome_rl,BSD017,p162,957,0.524445354201101
outcome_rl,BSD017,p163,954,0.5103190976184777
outcome_rl,BSD019,p139,591,0.6012789456291556
outcome_rl,BSD019,p140,1181,0.4930833620351717
outcome_rl,BSD019,p142,994,0.46534866462612445
outcome_rl,BSD019,p143,973,0.3827376322466354
outcome_rl,BSD019,p145,979,0.3946844606729692
outcome_rl,BSD019,p146,1075,0.3939643047511956
outcome_rl,BSD019,p148,1069,0.40178208567393037
outcome_rl,BSD019,p150,1031,0.41275127051282384
outcome_rl,BSD019,p152,972,0.4517903155880089
outcome_rl,BSD019,p153,740,0.36757433351356134
