amplitude,bias,candidate,nrmse,offset,trial
6.443004892788348e-07,1.7,kww,0.031581010782639196,3.9822520159232775e-07,1
7.152216196676843e-07,1.7,kww,0.031115709638585926,3.987109358947705e-07,2
7.577119529204377e-07,1.7,kww,0.032449911115049336,4.0468827520842066e-07,3
4.318007795465843e-07,1.8,kww,0.04362939124202115,2.607276842109303e-07,1
4.863158263321792e-07,1.8,kww,0.04356133698963171,2.717642885355626e-07,2
5.226437982412924e-07,1.8,kww,0.0415148820253731,2.8756439752235646e-07,3
3.191335220929924e-07,1.7,physical_k2,0.12372120180204735,1.6654776163012628e-07,1
3.2410916080330474e-07,1.7,physical_k2,0.12991625486985192,1.71731906395881e-07,2
3.358147719379088e-07,1.7,physical_k2,0.1311997526546622,1.7158724446819653e-07,3
8.509382590193366e-08,1.8,physical_k2,0.14912335121262127,2.2325109747014267e-07,1
8.640154379468641e-08,1.8,physical_k2,0.15490696237669788,2.3897295289222543e-07,2
1.224825414976514e-07,1.8,physical_k2,0.1542526632227308,2.2272426073532004e-07,3
4.810379378377594e-07,1.7,physical_k3,0.12371272157591504,1.652493698201948e-07,1
4.88753184212393e-07,1.7,physical_k3,0.12990797098401585,1.7027030936136362e-07,2
5.067537551529458e-07,1.7,physical_k3,0.13119053778136425,1.698412854677404e-07,3
1.7174682654626615e-07,1.8,physical_k3,0.1491234671648241,2.2327354647803555e-07,1
1.7440591728433858e-07,1.8,physical_k3,0.15490701876157023,2.389859948988149e-07,2
2.472348339515673e-07,1.8,physical_k3,0.15425276850164732,2.2274393757825725e-07,3
3.2633323166075034e-07,1.7,physical_k4,0.12370233559367301,1.6367686521788756e-07,1
3.317452534898059e-07,1.7,physical_k4,0.12989781196974717,1.6849748872574161e-07,2
3.442781536579314e-07,1.7,physical_k4,0.13117907234001017,1.676932806633301e-07,3
8.583565733423026e-08,1.8,physical_k4,0.14912349434190156,2.232788149857491e-07,1
8.716674396468737e-08,1.8,physical_k4,0.15490703273325754,2.389892354871272e-07,2
1.2356576782521133e-07,1.8,physical_k4,0.15425279465212097,2.2274883813238365e-07,3
3.227400570492357e-07,1.7,physical_k5,0.12369888955717437,1.6315946601222066e-07,1
3.281506535269628e-07,1.7,physical_k5,0.1298944382683088,1.6791357743367987e-07,2
3.406605782452986e-07,1.7,physical_k5,0.13117520470953006,1.6697482194488085e-07,3
8.511603535103499e-08,1.8,physical_k5,0.14912350019825904,2.2327995063006932e-07,1
8.643638408214807e-08,1.8,physical_k5,0.15490703588149693,2.3898996616833296e-07,2
1.2253034979730358e-07,1.8,physical_k5,0.15425280057240529,2.2274994829157402e-07,3
6.37568404529014e-07,1.7,linear_k2,0.032008891766670065,3.955601727354001e-07,1
7.077033042146076e-07,1.7,linear_k2,0.031652474794239716,3.95765026408755e-07,2
7.499100557390148e-07,1.7,linear_k2,0.03283355345573964,4.0153983762359336e-07,3
4.2423105124358887e-07,1.8,linear_k2,0.04235035721460921,2.5889694210032766e-07,1
4.782109684938779e-07,1.8,linear_k2,0.041879784640447774,2.696550646655808e-07,2
5.135329664369258e-07,1.8,linear_k2,0.040111321123670246,2.853382479550881e-07,3
6.41924422772578e-07,1.7,linear_k3,0.03185218674734446,3.967774116967501e-07,1
7.125863978408024e-07,1.7,linear_k3,0.03142081722666124,3.9710580690326113e-07,2
7.54978628760108e-07,1.7,linear_k3,0.032688695687283255,4.0297791625600923e-07,3
4.2850531800750696e-07,1.8,linear_k3,0.042671275294709855,2.5971864973312546e-07,1
4.829324249615046e-07,1.8,linear_k3,0.04232632902763329,2.7059415562239984e-07,2
5.187917948570399e-07,1.8,linear_k3,0.040413640863819704,2.863283464941024e-07,3
6.434531213769806e-07,1.7,linear_k4,0.031785906449575185,3.974576302496152e-07,1
7.142882143279702e-07,1.7,linear_k4,0.03133619414538351,3.9785868719175687e-07,2
7.567222889201347e-07,1.7,linear_k4,0.0326494048643749,4.037848443406647e-07,3
4.3021266865620053e-07,1.8,linear_k4,0.04309143229034836,2.601803224901116e-07,1
4.847818565395059e-07,1.8,linear_k4,0.04283436391323844,2.71123201164131e-07,2
5.208803054889849e-07,1.8,linear_k4,0.04085836255648,2.8688690872535116e-07,3
6.437306770331706e-07,1.7,linear_k5,0.03172185908250886,3.9784672141188623e-07,1
7.145845175187739e-07,1.7,linear_k5,0.03127354612226371,3.982917306662939e-07,2
7.570047435442893e-07,1.7,linear_k5,0.032607751678677965,4.0424811929602016e-07,3
4.30672933051413e-07,1.8,linear_k5,0.04353140072133722,2.604551966867153e-07,1
4.852492110236017e-07,1.8,linear_k5,0.04333230482902568,2.714384070335853e-07,2
5.214335926410713e-07,1.8,linear_k5,0.04133576520383784,2.872206926937344e-07,3
