model_id,cascade_depth,voltage_v,tau_leak_s,retention_id,retention_source,tau_r_s,preferred_lag_s
physical_headroom_v1,3,0.9,10.0,synthetic_10s,declared synthetic operating point,10.662508845643279,19.3
physical_headroom_v1,3,1.1,0.8448946663770562,held_bias_q10,direct held-bias distribution,5.969921286164822,1.8
physical_headroom_v1,3,1.1,1.1669372374932345,held_bias_q25,direct held-bias distribution,5.969921286164822,2.4000000000000004
physical_headroom_v1,3,1.1,1.3896742156393977,held_bias_q50,direct held-bias distribution,5.969921286164822,2.85
physical_headroom_v1,3,1.1,1.6179662155669912,held_bias_q75,direct held-bias distribution,5.969921286164822,3.3000000000000003
physical_headroom_v1,3,1.1,4.312684718514085,near_zero_device_1,supplementary 1-mV read,5.969921286164822,8.35
physical_headroom_v1,3,1.1,9.1966164265996,near_zero_device_2,supplementary 1-mV read,5.969921286164822,15.9
physical_headroom_v1,3,1.1,10.0,synthetic_10s,declared synthetic operating point,5.969921286164822,16.900000000000002
physical_headroom_v1,3,1.3,0.8448946663770562,held_bias_q10,direct held-bias distribution,3.3425491766477076,1.75
physical_headroom_v1,3,1.3,1.1669372374932345,held_bias_q25,direct held-bias distribution,3.3425491766477076,2.4000000000000004
physical_headroom_v1,3,1.3,1.3896742156393977,held_bias_q50,direct held-bias distribution,3.3425491766477076,2.8000000000000003
physical_headroom_v1,3,1.3,1.6179662155669912,held_bias_q75,direct held-bias distribution,3.3425491766477076,3.2
physical_headroom_v1,3,1.3,4.312684718514085,near_zero_device_1,supplementary 1-mV read,3.3425491766477076,7.3500000000000005
physical_headroom_v1,3,1.3,9.1966164265996,near_zero_device_2,supplementary 1-mV read,3.3425491766477076,11.5
physical_headroom_v1,3,1.3,10.0,synthetic_10s,declared synthetic operating point,3.3425491766477076,11.950000000000001
physical_headroom_v1,3,1.5,0.8448946663770562,held_bias_q10,direct held-bias distribution,1.8714878241695816,1.7000000000000002
physical_headroom_v1,3,1.5,1.1669372374932345,held_bias_q25,direct held-bias distribution,1.8714878241695816,2.25
physical_headroom_v1,3,1.5,1.3896742156393977,held_bias_q50,direct held-bias distribution,1.8714878241695816,2.5500000000000003
physical_headroom_v1,3,1.5,1.6179662155669912,held_bias_q75,direct held-bias distribution,1.8714878241695816,2.9000000000000004
physical_headroom_v1,3,1.5,4.312684718514085,near_zero_device_1,supplementary 1-mV read,1.8714878241695816,5.25
physical_headroom_v1,3,1.5,9.1966164265996,near_zero_device_2,supplementary 1-mV read,1.8714878241695816,7.1000000000000005
physical_headroom_v1,3,1.5,10.0,synthetic_10s,declared synthetic operating point,1.8714878241695816,7.300000000000001
physical_headroom_v1,4,0.8,0.8448946663770562,held_bias_q10,direct held-bias distribution,14.249669912632424,2.6500000000000004
physical_headroom_v1,4,0.8,1.1669372374932345,held_bias_q25,direct held-bias distribution,14.249669912632424,3.6
physical_headroom_v1,4,0.8,1.3896742156393977,held_bias_q50,direct held-bias distribution,14.249669912632424,4.25
physical_headroom_v1,4,0.8,1.6179662155669912,held_bias_q75,direct held-bias distribution,14.249669912632424,4.95
physical_headroom_v1,4,0.8,4.312684718514085,near_zero_device_1,supplementary 1-mV read,14.249669912632424,12.9
