condition,seed,eta,aulc
linear_device,1014,0.03,0.7848
linear_device,1015,0.03,0.794
linear_device,1016,0.03,0.7768
linear_device,1017,0.03,0.78
linear_device,1018,0.03,0.7864
linear_device,1019,0.03,0.7764
linear_device,1000,0.1,0.914
linear_device,1001,0.1,0.9252
linear_device,1002,0.1,0.9224
linear_device,1003,0.1,0.918
linear_device,1004,0.1,0.9184
linear_device,1005,0.1,0.9188
linear_device,1006,0.1,0.9168
linear_device,1007,0.1,0.92
linear_device,1008,0.1,0.9152
linear_device,1009,0.1,0.9284
linear_device,1010,0.1,0.926
linear_device,1011,0.1,0.9176
linear_device,1012,0.1,0.9244
linear_device,1013,0.1,0.9224
linear_device,1014,0.1,0.9272
linear_device,1015,0.1,0.9216
linear_device,1016,0.1,0.918
linear_device,1017,0.1,0.9096
linear_device,1018,0.1,0.9252
linear_device,1019,0.1,0.9116
linear_device,1000,0.3,0.97
linear_device,1001,0.3,0.9776
linear_device,1002,0.3,0.9764
linear_device,1003,0.3,0.9748
linear_device,1004,0.3,0.972
linear_device,1005,0.3,0.9772
linear_device,1006,0.3,0.9732
linear_device,1007,0.3,0.9768
linear_device,1008,0.3,0.9784
linear_device,1009,0.3,0.9732
linear_device,1010,0.3,0.9772
linear_device,1011,0.3,0.9744
linear_device,1012,0.3,0.976
linear_device,1013,0.3,0.976
linear_device,1014,0.3,0.976
linear_device,1015,0.3,0.976
linear_device,1016,0.3,0.9708
linear_device,1017,0.3,0.9756
linear_device,1018,0.3,0.9732
linear_device,1019,0.3,0.9716
linear_device,1000,1.0,0.9944
linear_device,1001,1.0,0.9972
linear_device,1002,1.0,0.9964
linear_device,1003,1.0,0.994
linear_device,1004,1.0,0.9924
linear_device,1005,1.0,0.9928
linear_device,1006,1.0,0.9948
linear_device,1007,1.0,0.9944
linear_device,1008,1.0,0.9948
linear_device,1009,1.0,0.9936
linear_device,1010,1.0,0.9912
linear_device,1011,1.0,0.9932
linear_device,1012,1.0,0.9956
linear_device,1013,1.0,0.9944
linear_device,1014,1.0,0.9928
linear_device,1015,1.0,0.9944
linear_device,1016,1.0,0.9948
linear_device,1017,1.0,0.9892
linear_device,1018,1.0,0.9964
linear_device,1019,1.0,0.9932
linear_device,1000,3.0,0.9756
linear_device,1001,3.0,0.9788
linear_device,1002,3.0,0.9748
linear_device,1003,3.0,0.976
linear_device,1004,3.0,0.9892
linear_device,1005,3.0,0.9804
linear_device,1006,3.0,0.9748
linear_device,1007,3.0,0.9796
linear_device,1008,3.0,0.9804
linear_device,1009,3.0,0.99
linear_device,1010,3.0,0.9932
linear_device,1011,3.0,0.9756
linear_device,1012,3.0,0.9832
linear_device,1013,3.0,0.9924
linear_device,1014,3.0,0.9776
linear_device,1015,3.0,0.9784
linear_device,1016,3.0,0.9804
linear_device,1017,3.0,0.9788
linear_device,1018,3.0,0.9776
linear_device,1019,3.0,0.9784
linear_device,1000,10.0,0.9928
linear_device,1001,10.0,0.9984
linear_device,1002,10.0,0.9984
linear_device,1003,10.0,0.996
linear_device,1004,10.0,0.9992
linear_device,1005,10.0,0.998
linear_device,1006,10.0,0.9968
linear_device,1007,10.0,0.9976
linear_device,1008,10.0,0.9972
linear_device,1009,10.0,0.9992
linear_device,1010,10.0,0.9972
linear_device,1011,10.0,0.998
linear_device,1012,10.0,0.996
linear_device,1013,10.0,0.9984
linear_device,1014,10.0,0.9988
linear_device,1015,10.0,0.9968
linear_device,1016,10.0,0.9992
linear_device,1017,10.0,0.9984
linear_device,1018,10.0,0.9976
linear_device,1019,10.0,0.996
linear_device,1000,100.0,0.5084
linear_device,1001,100.0,0.5156
linear_device,1002,100.0,0.5144
linear_device,1003,100.0,0.49
linear_device,1004,100.0,0.4908
linear_device,1005,100.0,0.5044
linear_device,1006,100.0,0.5052
linear_device,1007,100.0,0.5092
linear_device,1008,100.0,0.4996
linear_device,1009,100.0,0.5052
linear_device,1010,100.0,0.5064
linear_device,1011,100.0,0.516
linear_device,1012,100.0,0.4872
linear_device,1013,100.0,0.4952
linear_device,1014,100.0,0.5056
linear_device,1015,100.0,0.4868
linear_device,1016,100.0,0.5
linear_device,1017,100.0,0.5052
linear_device,1018,100.0,0.5024
linear_device,1019,100.0,0.484
abstract,1000,0.01,0.9932
abstract,1001,0.01,0.9964
abstract,1002,0.01,0.9964
abstract,1003,0.01,0.9936
abstract,1004,0.01,0.9952
abstract,1005,0.01,0.9936
abstract,1006,0.01,0.9928
