model_id,eta,condition,seed,selectivity
physical_headroom_v1,0.5,device,16,3.8493612828196246
physical_headroom_v1,0.5,device,17,3.7329747229101375
physical_headroom_v1,0.5,device,18,3.968335346060282
physical_headroom_v1,0.5,device,19,3.8463986451934398
physical_headroom_v1,0.5,matched_exponential,0,0.7567916070005847
physical_headroom_v1,0.5,matched_exponential,1,0.7508405450969275
physical_headroom_v1,0.5,matched_exponential,2,0.7623749556065322
physical_headroom_v1,0.5,matched_exponential,3,0.7684674344727344
physical_headroom_v1,0.5,matched_exponential,4,0.8634684284035936
physical_headroom_v1,0.5,matched_exponential,5,0.7303950210252647
physical_headroom_v1,0.5,matched_exponential,6,0.8149004698222855
physical_headroom_v1,0.5,matched_exponential,7,0.756590145940075
physical_headroom_v1,0.5,matched_exponential,8,0.7918737541861262
physical_headroom_v1,0.5,matched_exponential,9,0.6988559025583216
physical_headroom_v1,0.5,matched_exponential,10,0.829749590870635
physical_headroom_v1,0.5,matched_exponential,11,0.8569139916241887
physical_headroom_v1,0.5,matched_exponential,12,0.8151585080080401
physical_headroom_v1,0.5,matched_exponential,13,0.781102555288425
physical_headroom_v1,0.5,matched_exponential,14,0.878975817868504
physical_headroom_v1,0.5,matched_exponential,15,0.7145052559952244
physical_headroom_v1,0.5,matched_exponential,16,0.7921295141262282
physical_headroom_v1,0.5,matched_exponential,17,0.8673134544287783
physical_headroom_v1,0.5,matched_exponential,18,0.7530642404243363
physical_headroom_v1,0.5,matched_exponential,19,0.8143388045735658
linear_erlang_v1,0.01,device,0,3.7589981894770093
linear_erlang_v1,0.01,device,1,3.7559833949567567
linear_erlang_v1,0.01,device,2,3.750007920397967
linear_erlang_v1,0.01,device,3,3.761903331869097
linear_erlang_v1,0.01,device,4,3.7606273356280844
linear_erlang_v1,0.01,device,5,3.7541561888433055
linear_erlang_v1,0.01,device,6,3.756040412068804
linear_erlang_v1,0.01,device,7,3.7576739592838413
linear_erlang_v1,0.01,device,8,3.7515768612409865
linear_erlang_v1,0.01,device,9,3.763233292566565
linear_erlang_v1,0.01,device,10,3.7547967307886805
linear_erlang_v1,0.01,device,11,3.7511183991971824
linear_erlang_v1,0.01,device,12,3.750354391557273
linear_erlang_v1,0.01,device,13,3.750644023986464
linear_erlang_v1,0.01,device,14,3.7568604446119545
linear_erlang_v1,0.01,device,15,3.7602143470176737
linear_erlang_v1,0.01,device,16,3.7621746310637363
linear_erlang_v1,0.01,device,17,3.759966286154368
linear_erlang_v1,0.01,device,18,3.7644743668940848
linear_erlang_v1,0.01,device,19,3.767569154300506
linear_erlang_v1,0.01,matched_exponential,0,0.5822812068544322
linear_erlang_v1,0.01,matched_exponential,1,0.5806167950058361
linear_erlang_v1,0.01,matched_exponential,2,0.5787169026960488
linear_erlang_v1,0.01,matched_exponential,3,0.5754024886649731
linear_erlang_v1,0.01,matched_exponential,4,0.5744184323177489
linear_erlang_v1,0.01,matched_exponential,5,0.5734347139828667
linear_erlang_v1,0.01,matched_exponential,6,0.581073942691082
linear_erlang_v1,0.01,matched_exponential,7,0.5795465036119994
linear_erlang_v1,0.01,matched_exponential,8,0.58035712145151
linear_erlang_v1,0.01,matched_exponential,9,0.5765704375816085
linear_erlang_v1,0.01,matched_exponential,10,0.5780365047529231
linear_erlang_v1,0.01,matched_exponential,11,0.5772163203142726
linear_erlang_v1,0.01,matched_exponential,12,0.5800591665881544
linear_erlang_v1,0.01,matched_exponential,13,0.576007658616
linear_erlang_v1,0.01,matched_exponential,14,0.5771120231235872
linear_erlang_v1,0.01,matched_exponential,15,0.5807753777492473
linear_erlang_v1,0.01,matched_exponential,16,0.5806565655851271
linear_erlang_v1,0.01,matched_exponential,17,0.5799855459437633
linear_erlang_v1,0.01,matched_exponential,18,0.5763480757959374
linear_erlang_v1,0.01,matched_exponential,19,0.5803828760124815
linear_erlang_v1,0.1,device,0,3.6290374166782393
linear_erlang_v1,0.1,device,1,3.6463276869867203
linear_erlang_v1,0.1,device,2,3.6038683280097668
linear_erlang_v1,0.1,device,3,3.649621040273164
linear_erlang_v1,0.1,device,4,3.6542789521991264
linear_erlang_v1,0.1,device,5,3.5872262439306852
linear_erlang_v1,0.1,device,6,3.65463866761527
linear_erlang_v1,0.1,device,7,3.6651148083485516
linear_erlang_v1,0.1,device,8,3.645527319547545
linear_erlang_v1,0.1,device,9,3.680672552428714
linear_erlang_v1,0.1,device,10,3.643589417022001
linear_erlang_v1,0.1,device,11,3.6555202101779787
linear_erlang_v1,0.1,device,12,3.628370188059259
linear_erlang_v1,0.1,device,13,3.6443314505353808
