condition,seed,eta,aulc,final_reward
linear_device,1007,0.03,0.9766666666666667,1.0
linear_device,1008,0.03,0.9433333333333334,1.0
linear_device,1009,0.03,0.9566666666666667,1.0
linear_device,1010,0.03,0.96,1.0
linear_device,1011,0.03,0.9233333333333333,1.0
linear_device,1012,0.03,0.84,1.0
linear_device,1013,0.03,0.95,1.0
linear_device,1014,0.03,0.9433333333333334,1.0
linear_device,1015,0.03,0.94,1.0
linear_device,1016,0.03,0.9,1.0
linear_device,1017,0.03,0.92,1.0
linear_device,1018,0.03,0.95,1.0
linear_device,1019,0.03,0.92,1.0
linear_device,1000,0.1,0.3433333333333333,0.39
linear_device,1001,0.1,0.30333333333333334,0.32
linear_device,1002,0.1,0.32,0.34
linear_device,1003,0.1,0.43666666666666665,0.49
linear_device,1004,0.1,0.7766666666666666,1.0
linear_device,1005,0.1,0.35333333333333333,0.48
linear_device,1006,0.1,0.30333333333333334,0.28
linear_device,1007,0.1,0.32666666666666666,0.39
linear_device,1008,0.1,0.30333333333333334,0.38
linear_device,1009,0.1,0.33,0.36
linear_device,1010,0.1,0.44666666666666666,0.55
linear_device,1011,0.1,0.3233333333333333,0.33
linear_device,1012,0.1,0.44333333333333336,0.74
linear_device,1013,0.1,0.3566666666666667,0.43
linear_device,1014,0.1,0.35333333333333333,0.45
linear_device,1015,0.1,0.2966666666666667,0.3
linear_device,1016,0.1,0.36666666666666664,0.39
linear_device,1017,0.1,0.33666666666666667,0.39
linear_device,1018,0.1,0.32,0.35
linear_device,1019,0.1,0.30333333333333334,0.31
linear_device,1000,0.3,0.15666666666666668,0.26
linear_device,1001,0.3,0.16,0.3
linear_device,1002,0.3,0.12666666666666668,0.14
linear_device,1003,0.3,0.12,0.13
linear_device,1004,0.3,0.14,0.18
linear_device,1005,0.3,0.14333333333333334,0.15
linear_device,1006,0.3,0.12,0.13
linear_device,1007,0.3,0.13,0.15
linear_device,1008,0.3,0.13333333333333333,0.12
linear_device,1009,0.3,0.11,0.14
linear_device,1010,0.3,0.16,0.18
linear_device,1011,0.3,0.12,0.14
linear_device,1012,0.3,0.11333333333333333,0.14
linear_device,1013,0.3,0.17333333333333334,0.18
