path,asset_id,size,sha256
sub-BSD015/sub-BSD015_ses-p117.nwb,40aa6b12-8519-48b3-a9ac-9b233ef42688,3174560,23fe4414517550e4e58417f240d9d75af471f372ef69c7ad349606c409e8b562
sub-BSD016/sub-BSD016_ses-p106.nwb,5c909cad-f69b-442a-bb9a-f5631c302154,2988176,fa4d628876717cfb9c6de3d22e38c71f8a0c18dd4118e97fa6ef37b188f37de1
sub-BSD016/sub-BSD016_ses-p107.nwb,b39e1b32-b587-4d53-a85b-e0c8e42c3dc6,2986536,bbd97aa247cb1bc757cd680a191d341379953fafe4c17b68a3697c3282c26e54
sub-BSD016/sub-BSD016_ses-p108.nwb,634821a0-f403-4332-b618-d0e91b33d93b,511936,6f68ff51daeda089bd3042dc3f2010e4a1b7ecc72b1bab15d8be5a01b452086e
sub-BSD016/sub-BSD016_ses-p109.nwb,d0a71987-053e-44e6-aa78-374637496a3b,4198904,06c40d0757520fc9585ac9da4cc8d65968d06bb674a40c175e00383145f86983
sub-BSD016/sub-BSD016_ses-p110.nwb,ed19b3d4-6ce9-4f55-8fc2-be0c0ea20d4e,3096592,1862f7a34ae15d2a672c9eedf4e7f737f6be1e2829e66b8d0e8e6a3423b0e30b
sub-BSD016/sub-BSD016_ses-p111.nwb,4e1ce05a-d1df-4e90-86ef-eb84d245b821,537712,16f041f4554865cf37d5e7163c8700b69be430e26024fef4cb8a1c4d07397b96
sub-BSD016/sub-BSD016_ses-p112.nwb,0a9e52d5-7d13-48c0-8ea0-b0caf5d2817a,2951840,f7c4083b56f57d7c9b532d83bac7f369548677f7432c9efb175962faccbe5f6a
sub-BSD016/sub-BSD016_ses-p113.nwb,6d754e4b-48dd-4e68-88ae-eb3422c0132a,2896752,6cfae35df897868c4ba07d0af5e93d27f5149366115974f490658306aa9ec4f4
sub-BSD016/sub-BSD016_ses-p114.nwb,fe2f5163-889a-40e8-a0d7-27ee21a77573,551552,c766e3a928feab4930edb60cb3cf88d146580d1e4319a98f70a69fd94f069258
sub-BSD016/sub-BSD016_ses-p115.nwb,15b2502e-618d-49fb-ac54-3376a710b0a8,507584,b08643c78257371d31bb8161c32b70bc16e8fcd67c6eed7d60cc7f11c567d1bd
sub-BSD016/sub-BSD016_ses-p116.nwb,6b9c5e66-80c9-4581-bbf9-54b87c9795bb,507584,2de15b047294151853be553817560da24e94b243fb4c0eb2c26a417424b1fc1e
sub-BSD016/sub-BSD016_ses-p117.nwb,e5dc38ad-e214-47d7-8aa2-8328eb255097,528456,7e54bd09b992b8e757b20b43f355176db2dd60ec2f36a5791e7b1a4e9da7db6e
sub-BSD016/sub-BSD016_ses-p118.nwb,03905354-e850-4d1a-9ea0-5147b3ee7fa4,566736,7d978cce7024ef52af4941753529c1c183b15c0e0d33c9f1ddd709e104840ff5
sub-BSD016/sub-BSD016_ses-p119.nwb,c22702cd-91eb-4f59-84fa-cd280fb28d7b,502800,62b10f3a027a1efef092711ad0770791d202677e4d60a7c0b64c6c86e24ce357
sub-BSD017/sub-BSD017_ses-p153.nwb,a91cfb94-d17d-4089-ab74-d22b131b49e6,4695488,b6cd366a0041c2189701dac340c6113b692f80729a4a704a46997a653f4bf9c1
sub-BSD017/sub-BSD017_ses-p154.nwb,b9991bee-6f99-43da-a7c8-09363a524017,4202688,34e9c8cfe01f0013b2c6e0cd539b8bcb4d9ff6a15912aff0ddd6aa0ba8aa608c
sub-BSD017/sub-BSD017_ses-p155.nwb,33246f45-5d60-4994-9fd2-609958cc9ac5,368896,82bdafd230d41bbbd6981162c7e7bdce5022b3fdf5e608a08ceae92f26bc6617
sub-BSD017/sub-BSD017_ses-p156.nwb,81d2a4f9-c360-409e-8647-76e1d9f25fb1,3654120,7875622abe6db41a2ccc2cd53362167cd20ab5eedb0e86ce02277ca18897a19d
sub-BSD017/sub-BSD017_ses-p157.nwb,a89199f8-2d44-43f2-9dec-c257f0808e83,3284496,11d25b9a4fd90c263d2f474bb60ddac811cebe8c5a03ddfc880a1e2b2c0593b1
sub-BSD017/sub-BSD017_ses-p158.nwb,d687c72e-3ec4-4a53-879c-ecd13550481d,453688,e472d0232466419c0e22cd09309f5280e66f141860568f96201072c586e8f5dd
sub-BSD017/sub-BSD017_ses-p159.nwb,6a954812-82e2-4be9-a603-61cb25d0171f,4086288,bf95c62c1fb908b3e05a1afa3ec9c45eebfa5ec2a318df9261a84ef14424f94d
sub-BSD017/sub-BSD017_ses-p160.nwb,e0e316fa-b2e1-4f5e-b5d7-fa6d67b0e103,3311520,984697943743ed25a376a4f6ca2c036441c01328cf9f36480121cdcec038bd91
sub-BSD017/sub-BSD017_ses-p161.nwb,51325cdc-8cff-4ce1-bf4a-da655370715c,452728,1b3afc373343f4e22fcdfb454082da73cd803da996910c69f58d493e128d8203
sub-BSD017/sub-BSD017_ses-p162.nwb,644c04df-74fb-4c9c-be89-44096d95563c,3666072,6e0cfa47f5cee6fda640a1d5bebce1cd3a3084d6a579c230dd18ccb5e89622ee
sub-BSD017/sub-BSD017_ses-p163.nwb,2d2ea0cd-932a-47dc-85b5-beeab22310e9,3759744,ccd6cb1c619d2d1651296ac444ab8cbdb7215f82d221d48955bcc6f4e52024ed
sub-BSD017/sub-BSD017_ses-p164.nwb,a4fe7b4d-0089-420d-9a65-c945a2deeecb,417480,c8935d7d461dd24ffd394dae5504b4c08b2715df86291f4f67ffaa36dcf97f13
sub-BSD017/sub-BSD017_ses-p167.nwb,faaeff4a-ab13-4cfb-ad07-7e726c207fdb,448952,2bdc1aeac53009129da37164f13ea132aca7a425e691810838d0b7368ef4cf7f
sub-BSD019/sub-BSD019_ses-p139.nwb,92228528-5df3-4eec-8895-7f4c74adc02c,4001944,8dd9176bd02610aefbf4130f17dfa652faa10eb66c365ec98dc303799979ebba
sub-BSD019/sub-BSD019_ses-p140.nwb,ff937bb8-a825-4f9f-9bcf-db57e75db614,4333016,e9d6b3b42622178572f0e1ce29ffa6bafeb1ad1a7fe135ac166e17d4084da54b
sub-BSD019/sub-BSD019_ses-p141.nwb,51a52ec4-0c3e-41eb-ad0c-74666b616083,460168,08b6daf08bd449b624dc215b27a610f94e7a6606049f1d5f67c9d35acea190b2
sub-BSD019/sub-BSD019_ses-p142.nwb,aa4efa15-a80f-46d6-8cc7-b81aff26dd33,3940896,82504c1b60552b6a04d5c93dc47ed5efde773437d0b1140d4f2e803f126ad6b5
sub-BSD019/sub-BSD019_ses-p143.nwb,0b3d5db8-0cbb-442b-bc32-c49b0052098b,3812272,edf3ee3f6cbab2a81f440bc3f1ba73c6765c09d3e94e1cf63215b0e024524fba
sub-BSD019/sub-BSD019_ses-p144.nwb,1c07846f-7e71-4c11-b9d4-0fda30f9a80b,459784,cd0d17c2a410f1ff133414837cb1607271ce50cf2e1d8a165ea1b3e1c6dd5ca4
sub-BSD019/sub-BSD019_ses-p145.nwb,6e221d12-2ea3-4595-b65a-e1533e2c9d14,3872472,ede150aeca76633a0599e286fcb4d43d7e681928c40b8c016e05517abfa49244
sub-BSD019/sub-BSD019_ses-p146.nwb,0bc6e9eb-2299-4fe5-8a4d-2d405abb9d55,4446000,2324bc357db95b5dcbe86c2b6346a2b83191284fd98c5e79006533b05321a892
sub-BSD019/sub-BSD019_ses-p147.nwb,21370ea2-a4b8-4268-9613-93d5a9afce1f,489904,0dc987e026c65bd9ae7d9d3b6fe2e2357fbc9faa5f7a595eec3a87ca9827a85f
sub-BSD019/sub-BSD019_ses-p148.nwb,9f1de659-587b-4f27-972e-b876e199b776,3717992,3b1b1442aed811a1f6986c027d7128b41f9c804ec4ad7fe4c19678d245564120
sub-BSD019/sub-BSD019_ses-p150.nwb,7105f277-dbbc-491d-a23d-8e494e3cb83e,4048368,bd892e5f7dca8ea7465761e72ff90393714f7e917fe781009172699148649ada
sub-BSD019/sub-BSD019_ses-p151.nwb,0f4a92de-712f-48d8-a396-cb3f81a2e9cb,560896,3ecff483503f2a9c5ef9f50bcfbd6b6f35a189bb5d3c48ec0b3ff5b96bf1d432
sub-BSD019/sub-BSD019_ses-p152.nwb,45223417-4911-4ca3-9864-02a339ba1f16,3782344,bd7d582ef7df6d443111b2c5f30254159af37dbf2fcbb1718f3853160ee58625
sub-BSD019/sub-BSD019_ses-p153.nwb,14af851c-cc70-458f-b666-642f7d180b66,4640968,ec055e28cc560d2a952c367bf401ccdae2f6bca8bbf200ea770b66cec1386b16
